GEBIET_NAME,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE
Aeugst a.A.,Bevölkerung [Pers.],1962,710
Aeugst a.A.,Bevölkerung [Pers.],1963,720
Aeugst a.A.,Bevölkerung [Pers.],1964,705
Aeugst a.A.,Bevölkerung [Pers.],1965,695
Aeugst a.A.,Bevölkerung [Pers.],1966,745
Aeugst a.A.,Bevölkerung [Pers.],1967,704
Aeugst a.A.,Bevölkerung [Pers.],1968,678
Aeugst a.A.,Bevölkerung [Pers.],1969,726
Aeugst a.A.,Bevölkerung [Pers.],1970,700
Aeugst a.A.,Bevölkerung [Pers.],1971,729
Aeugst a.A.,Bevölkerung [Pers.],1972,723
Aeugst a.A.,Bevölkerung [Pers.],1973,713
Aeugst a.A.,Bevölkerung [Pers.],1974,735
Aeugst a.A.,Bevölkerung [Pers.],1975,726
Aeugst a.A.,Bevölkerung [Pers.],1976,732
Aeugst a.A.,Bevölkerung [Pers.],1977,789
Aeugst a.A.,Bevölkerung [Pers.],1978,827
Aeugst a.A.,Bevölkerung [Pers.],1979,853
Aeugst a.A.,Bevölkerung [Pers.],1980,889
Aeugst a.A.,Bevölkerung [Pers.],1981,921
Aeugst a.A.,Bevölkerung [Pers.],1982,961
Aeugst a.A.,Bevölkerung [Pers.],1983,976
Aeugst a.A.,Bevölkerung [Pers.],1984,988
Aeugst a.A.,Bevölkerung [Pers.],1985,1034
Aeugst a.A.,Bevölkerung [Pers.],1986,1022
Aeugst a.A.,Bevölkerung [Pers.],1987,1054
Aeugst a.A.,Bevölkerung [Pers.],1988,1126
Aeugst a.A.,Bevölkerung [Pers.],1989,1158
Aeugst a.A.,Bevölkerung [Pers.],1990,1200
Aeugst a.A.,Bevölkerung [Pers.],1991,1237
Aeugst a.A.,Bevölkerung [Pers.],1992,1292
Aeugst a.A.,Bevölkerung [Pers.],1993,1316
Aeugst a.A.,Bevölkerung [Pers.],1994,1355
Aeugst a.A.,Bevölkerung [Pers.],1995,1382
Aeugst a.A.,Bevölkerung [Pers.],1996,1426
Aeugst a.A.,Bevölkerung [Pers.],1997,1445
Aeugst a.A.,Bevölkerung [Pers.],1998,1450
Aeugst a.A.,Bevölkerung [Pers.],1999,1498
Aeugst a.A.,Bevölkerung [Pers.],2000,1520
Aeugst a.A.,Bevölkerung [Pers.],2001,1502
Aeugst a.A.,Bevölkerung [Pers.],2002,1490
Aeugst a.A.,Bevölkerung [Pers.],2003,1542
Aeugst a.A.,Bevölkerung [Pers.],2004,1598
Aeugst a.A.,Bevölkerung [Pers.],2005,1606
Aeugst a.A.,Bevölkerung [Pers.],2006,1644
Aeugst a.A.,Bevölkerung [Pers.],2007,1701
