"Jahr","Kanton","Ehedauer",Scheidungen
"1969","Schweiz","Ehedauer - Total",5982
"1969","Zürich","Ehedauer - Total",1527
"1969","Bern / Berne","Ehedauer - Total",692
"1969","Luzern","Ehedauer - Total",161
"1969","Uri","Ehedauer - Total",8
"1969","Schwyz","Ehedauer - Total",40
"1969","Obwalden","Ehedauer - Total",8
"1969","Nidwalden","Ehedauer - Total",8
"1969","Glarus","Ehedauer - Total",22
"1969","Zug","Ehedauer - Total",49
"1969","Fribourg / Freiburg","Ehedauer - Total",72
"1969","Solothurn","Ehedauer - Total",184
"1969","Basel-Stadt","Ehedauer - Total",399
"1969","Basel-Landschaft","Ehedauer - Total",170
"1969","Schaffhausen","Ehedauer - Total",88
"1969","Appenzell Ausserrhoden","Ehedauer - Total",42
"1969","Appenzell Innerrhoden","Ehedauer - Total",2
"1969","St. Gallen","Ehedauer - Total",269
"1969","Graubünden / Grigioni / Grischun","Ehedauer - Total",78
"1969","Aargau","Ehedauer - Total",288
"1969","Thurgau","Ehedauer - Total",161
"1969","Ticino","Ehedauer - Total",164
"1969","Vaud","Ehedauer - Total",658
"1969","Valais / Wallis","Ehedauer - Total",41
"1969","Neuchâtel","Ehedauer - Total",216
"1969","Genève","Ehedauer - Total",594
"1969","Jura","Ehedauer - Total",41
"1970","Schweiz","Ehedauer - Total",6406
"1970","Zürich","Ehedauer - Total",1624
"1970","Bern / Berne","Ehedauer - Total",726
"1970","Luzern","Ehedauer - Total",191
"1970","Uri","Ehedauer - Total",11
"1970","Schwyz","Ehedauer - Total",40
"1970","Obwalden","Ehedauer - Total",1
"1970","Nidwalden","Ehedauer - Total",12
"1970","Glarus","Ehedauer - Total",20
"1970","Zug","Ehedauer - Total",56
"1970","Fribourg / Freiburg","Ehedauer - Total",77
"1970","Solothurn","Ehedauer - Total",195
"1970","Basel-Stadt","Ehedauer - Total",401
"1970","Basel-Landschaft","Ehedauer - Total",204
"1970","Schaffhausen","Ehedauer - Total",76
"1970","Appenzell Ausserrhoden","Ehedauer - Total",48
"1970","Appenzell Innerrhoden","Ehedauer - Total",1
"1970","St. Gallen","Ehedauer - Total",280
"1970","Graubünden / Grigioni / Grischun","Ehedauer - Total",76
"1970","Aargau","Ehedauer - Total",368
"1970","Thurgau","Ehedauer - Total",178
"1970","Ticino","Ehedauer - Total",156
"1970","Vaud","Ehedauer - Total",646
"1970","Valais / Wallis","Ehedauer - Total",72
"1970","Neuchâtel","Ehedauer - Total",242
"1970","Genève","Ehedauer - Total",663
"1970","Jura","Ehedauer - Total",42
"1971","Schweiz","Ehedauer - Total",7036
"1971","Zürich","Ehedauer - Total",1646
"1971","Bern / Berne","Ehedauer - Total",873
"1971","Luzern","Ehedauer - Total",182
"1971","Uri","Ehedauer - Total",8
"1971","Schwyz","Ehedauer - Total",50
"1971","Obwalden","Ehedauer - Total",9
"1971","Nidwalden","Ehedauer - Total",14
"1971","Glarus","Ehedauer - Total",19
"1971","Zug","Ehedauer - Total",66
"1971","Fribourg / Freiburg","Ehedauer - Total",89
"1971","Solothurn","Ehedauer - Total",190
"1971","Basel-Stadt","Ehedauer - Total",473
"1971","Basel-Landschaft","Ehedauer - Total",260
"1971","Schaffhausen","Ehedauer - Total",120
"1971","Appenzell Ausserrhoden","Ehedauer - Total",50
"1971","Appenzell Innerrhoden","Ehedauer - Total",4
"1971","St. Gallen","Ehedauer - Total",322
