,Kanton,Year,Population,Divorces_p1k,Pre_school_p1k,Primary_school_p1k,Secondary_school_p1k,SP,CVP,SVP
26,Aargau,1999,540639.0,2.6875604608620542,23.699733093616995,62.02845151755608,51.34849687129489,21.7,17.3,21.9
27,Aargau,2000,544306.0,1.4330174570921503,23.54006753554067,61.610564645622134,51.00256105940409,21.7,17.3,21.9
28,Aargau,2001,550298.0,1.9353150474833636,23.201974203068158,59.83667031317577,50.09285877833465,18.6,15.0,33.5
29,Aargau,2002,555782.0,2.092547077811084,22.985631056781255,58.53374164690472,50.082586337808706,18.6,15.0,33.5
30,Aargau,2003,560674.0,2.1884374877379726,22.166178563657315,57.204364746715555,50.771036288467094,18.6,15.0,33.5
31,Aargau,2003,560674.0,2.1884374877379726,21.729204493163586,56.23588752109069,51.07245921872603,18.6,15.0,33.5
33,Aargau,2005,569344.0,2.6785212455035974,20.9996065647482,54.337974932553955,49.83454642535971,19.7,17.5,30.3
34,Aargau,2006,574813.0,2.806129993580521,20.166558515552016,53.08161088910655,48.887203316556864,19.7,17.5,30.3
35,Aargau,2007,581562.0,2.4984438460559666,19.765734349905944,51.942871095429204,47.52889631715965,19.7,17.5,30.3
36,Aargau,2008,591632.0,2.391689428563702,20.01751088514482,50.84748627525219,46.30750196067826,19.7,17.5,30.3
37,Aargau,2009,600040.0,2.348176788214119,20.333644423705085,49.87667488834078,45.763615758949406,15.7,15.0,31.9
38,Aargau,2010,611466.0,2.7720265722051596,19.808133240441826,48.674824111234315,44.6239038638289,15.7,15.0,31.9
39,Aargau,2011,618298.0,2.068581816535069,19.571468773956894,48.09493157021372,43.99496682829315,15.7,15.0,31.9
40,Aargau,2012,627340.0,1.978193643000606,19.53326744667963,47.304491982019314,42.63238435298243,15.7,15.0,31.9
41,Aargau,2013,636362.0,1.9202906521759628,20.77591056662717,47.160264126393464,41.36953495023273,15.7,15.0,31.9
42,Aargau,2014,645277.0,1.9201056290554288,21.359819116441468,56.49976676683037,30.938651152915725,15.7,15.0,31.9
43,Aargau,2014,645277.0,1.9201056290554288,21.359819116441468,56.49976676683037,30.938651152915725,15.7,15.0,31.9
44,Aargau,2015,653675.0,1.990285692431254,21.40207289555207,57.84219986996597,30.10670440203465,15.7,15.0,31.9
45,Aargau,2016,663462.0,1.950375454811278,21.2039272784274,59.24378487388878,29.472675149443376,18.9,12.1,31.9
46,Aargau,2017,670988.0,1.7824461838363725,21.141957829350154,63.01752043255617,30.633930860164416,18.9,12.1,31.9
47,Aargau,2018,678207.0,1.8696356717049514,20.88890265066565,63.799105582808785,30.15745930077395,18.9,12.1,31.9
48,Aargau,2019,685845.0,2.028155049610335,21.0280748565638,64.00863168791783,30.4150354671974,18.9,12.1,31.9
49,Aargau,2020,694072.0,1.736131121843267,21.343607003308016,64.20947682661163,30.296568655701428,16.3,12.8,30.1
87,Basel-Landschaft,1999,258602.0,3.1708958167376897,21.152195265311175,53.22851331389548,45.37474574829274,24.8,13.0,15.9
88,Basel-Landschaft,2000,260036.0,0.8998754018674338,21.035548923995137,52.93497823378301,45.124521220138746,24.8,13.0,15.9
89,Basel-Landschaft,2001,261083.0,2.0031943864594783,20.92438036946105,51.72684548591827,44.84780701922377,24.8,13.0,15.9
90,Basel-Landschaft,2002,262949.0,1.973766776066842,20.60095303652039,50.91101316224819,44.58278981855797,24.8,13.0,15.9
91,Basel-Landschaft,2003,264402.0,2.0763836884743685,20.540691825326583,50.18494565094061,44.37182774714261,25.9,11.3,21.8
92,Basel-Landschaft,2003,264402.0,2.0763836884743685,20.38184279997882,48.81960045688005,44.33400655063124,25.9,11.3,21.8
94,Basel-Landschaft,2005,266089.0,2.7321685601434105,19.54233358011793,48.24325695537959,43.767310937317966,25.9,11.3,21.8
95,Basel-Landschaft,2006,267166.0,2.8671312966470284,19.059311439329857,47.55844680835136,43.078086283434274,25.9,11.3,21.8
96,Basel-Landschaft,2007,269145.0,2.340745694699883,18.08690482825243,46.87064593434766,42.30804956436122,22.9,12.1,22.5
97,Basel-Landschaft,2008,271214.0,2.57361345653248,17.665017292617637,45.948955437403676,41.26999343691697,22.9,12.1,22.5
98,Basel-Landschaft,2009,272815.0,2.2139545112988652,17.81793523083408,45.03784615948537,40.70157432692484,22.9,12.1,22.5
99,Basel-Landschaft,2010,274404.0,2.4890307721461786,17.394061311059605,45.87396685179517,41.46076587804842,22.9,12.1,22.5
100,Basel-Landschaft,2011,275360.0,2.1390180127832656,17.838466008134805,44.2765833817548,41.429401510749564,22.0,9.3,24.0
101,Basel-Landschaft,2012,276537.0,2.129913899405866,18.684660642156384,44.305102029746465,41.17351385167265,22.0,9.3,24.0
102,Basel-Landschaft,2013,278656.0,2.0024689940284794,19.278249885163067,44.81511254019293,40.51231626090951,22.0,9.3,24.0
103,Basel-Landschaft,2014,281301.0,1.9267617249849804,19.310276181030286,45.627281808454285,39.58037831362135,22.0,9.3,24.0
104,Basel-Landschaft,2014,281301.0,1.9267617249849804,19.310276181030286,45.627281808454285,39.58037831362135,22.0,9.3,24.0
105,Basel-Landschaft,2015,283231.0,1.8536106570255373,19.29873495486017,55.191698648806096,29.555380590401473,22.0,9.6,26.7
106,Basel-Landschaft,2016,285624.0,1.995630619275691,19.09153292440411,56.51135758899812,29.115200403327453,22.0,9.6,26.7
107,Basel-Landschaft,2017,287023.0,1.7141483435125409,19.482759221386438,61.078728882354376,30.499297965668255,22.0,9.6,26.7
108,Basel-Landschaft,2018,288132.0,2.051143226021407,19.279358071994782,61.61412130551275,30.250024294420612,22.0,9.6,26.7
109,Basel-Landschaft,2019,289468.0,1.768762004781185,19.014191551397737,61.816850221786176,30.9636989235425,22.8,9.3,22.7
110,Basel-Landschaft,2020,290969.0,1.8971093140506377,18.75801202189924,61.4257876268606,31.896868738594147,22.8,9.3,22.7
140,Basel-Stadt,2000,187667.0,1.2149179131120547,17.776167360271117,33.351628149861185,43.82230226944535,26.0,9.9,10.0
141,Basel-Stadt,2001,186469.0,2.7886672851787697,16.458499804257006,32.745389314041475,42.248309370458365,26.0,9.9,10.0
142,Basel-Stadt,2002,186719.0,2.5546409310246947,16.350773086831012,31.65719610751985,43.203958890096885,26.0,9.9,10.0
143,Basel-Stadt,2003,186653.0,2.6894826228348863,16.233331368903794,31.19156938275838,43.83535223114549,26.0,9.9,10.0
144,Basel-Stadt,2003,186653.0,2.6894826228348863,16.672649247534196,30.67188847754925,43.11208499193691,26.0,9.9,10.0
146,Basel-Stadt,2005,185601.0,3.1519226728304264,16.109826994466623,31.169013097989776,43.0062338026196,31.2,8.1,12.1
147,Basel-Stadt,2006,184822.0,3.2355455519364575,15.77734252415838,30.266959561091213,43.44720866563504,31.2,8.1,12.1
148,Basel-Stadt,2007,185227.0,3.1690844207377973,15.483703779686547,29.46654645381073,42.88251712763258,31.2,8.1,12.1
149,Basel-Stadt,2008,186672.0,2.8231336247535785,16.07096940087426,28.884889003171338,41.76309248307191,28.2,9.3,13.9
150,Basel-Stadt,2009,187898.0,2.9484081789055767,16.65265197075009,27.951335298938783,41.00096861062917,28.2,9.3,13.9
151,Basel-Stadt,2010,184950.0,3.498242768315761,16.35036496350365,30.240605569072724,41.351716680183834,28.2,9.3,13.9
152,Basel-Stadt,2011,186255.0,2.2066521704115325,16.890821722906765,30.32938713054683,40.976081179028746,28.2,9.3,13.9
153,Basel-Stadt,2012,187425.0,2.3956249166333197,17.628384687208218,30.860344137655062,40.13338668800854,30.7,7.3,15.0
154,Basel-Stadt,2013,189335.0,2.1760371827712786,17.688224575487894,39.78133995299337,31.938099136451264,30.7,7.3,15.0
