,Divorces_p1k,Pre_school_p1k,Primary_school_p1k,Secondary_school_p1k,SP,CVP,SVP,Foreigners_p1k,Cars_p1k,Average_age_when_married,Average_duration_of_marriage_when_divorced
0,2.6875604608620542,23.699733093616995,62.02845151755608,51.34849687129489,21.7,17.3,21.9,182.6671771736778,652.6721157741117,29.2,12.964749
1,1.4330174570921503,23.54006753554067,61.610564645622134,51.00256105940409,21.7,17.3,21.9,184.87027517609582,666.1234673143416,29.4,14.385246
2,1.9353150474833636,23.201974203068158,59.83667031317577,50.09285877833465,18.6,15.0,33.5,185.0215701310926,676.2572279019731,29.5,13.528438
3,2.092547077811084,22.985631056781255,58.53374164690472,50.082586337808706,18.6,15.0,33.5,190.2598500851053,700.1162326235826,29.8,13.670864
4,2.1884374877379726,22.166178563657315,57.204364746715555,50.771036288467094,18.6,15.0,33.5,193.38510435654229,694.0075694610416,29.7,13.958332
5,2.1884374877379726,21.729204493163586,56.23588752109069,51.07245921872603,18.6,15.0,33.5,193.38510435654229,694.0075694610416,29.7,13.958332
6,2.6785212455035974,20.9996065647482,54.337974932553955,49.83454642535971,19.7,17.5,30.3,197.64325258543167,708.2379018660072,29.9,15.136619
7,2.806129993580521,20.166558515552016,53.08161088910655,48.887203316556864,19.7,17.5,30.3,199.16390199943285,712.8648795347357,29.9,15.272013
8,2.4984438460559666,19.765734349905944,51.942871095429204,47.52889631715965,19.7,17.5,30.3,198.4379997317569,718.3103435231325,30.2,15.449115
9,2.391689428563702,20.01751088514482,50.84748627525219,46.30750196067826,19.7,17.5,30.3,200.13623333423482,717.8753008626985,30.3,15.374217
10,2.348176788214119,20.333644423705085,49.87667488834078,45.763615758949406,15.7,15.0,31.9,206.62455836277582,713.6240917272182,30.3,14.858288
11,2.7720265722051596,19.808133240441826,48.674824111234315,44.6239038638289,15.7,15.0,31.9,210.57098841145705,720.3671177138223,30.6,14.934512
12,2.068581816535069,19.571468773956894,48.09493157021372,43.99496682829315,15.7,15.0,31.9,216.72073983742467,731.4951689961798,30.6,15.707209
13,1.978193643000606,19.53326744667963,47.304491982019314,42.63238435298243,15.7,15.0,31.9,219.60340485223324,739.5638728600121,30.5,15.294459
14,1.9202906521759628,20.77591056662717,47.160264126393464,41.36953495023273,15.7,15.0,31.9,225.1108645707946,744.5322002256577,30.5,15.446358
15,1.9201056290554288,21.359819116441468,56.49976676683037,30.938651152915725,15.7,15.0,31.9,230.0469410811171,748.7482120081763,30.6,15.52409
16,1.9201056290554288,21.359819116441468,56.49976676683037,30.938651152915725,15.7,15.0,31.9,230.0469410811171,748.7482120081763,30.6,15.52409
17,1.990285692431254,21.40207289555207,57.84219986996597,30.10670440203465,15.7,15.0,31.9,235.48858377634147,749.891000879642,30.6,15.699381
18,1.950375454811278,21.2039272784274,59.24378487388878,29.472675149443376,18.9,12.1,31.9,238.74464551097125,750.9005790836552,30.7,15.518206
19,1.7824461838363725,21.141957829350154,63.01752043255617,30.633930860164416,18.9,12.1,31.9,244.04311254448663,752.7824640679119,30.6,15.635479
20,1.8696356717049514,20.88890265066565,63.799105582808785,30.15745930077395,18.9,12.1,31.9,246.6488844851203,756.5934884187276,30.7,15.54994314
21,2.028155049610335,21.0280748565638,64.00863168791783,30.4150354671974,18.9,12.1,31.9,248.4876320451414,757.0894298274391,30.7,15.90227765
22,1.736131121843267,21.343607003308016,64.20947682661163,30.296568655701428,16.3,12.8,30.1,249.96686222754988,761.3849859956891,30.8,16.18385496
69,3.1708958167376897,21.152195265311175,53.22851331389548,45.37474574829274,24.8,13.0,15.9,161.595811323965,588.541465263223,29.3,14.593581
70,0.8998754018674338,21.035548923995137,52.93497823378301,45.124521220138746,24.8,13.0,15.9,165.44247719546524,600.6552938823854,29.5,13.464131
71,2.0031943864594783,20.92438036946105,51.72684548591827,44.84780701922377,24.8,13.0,15.9,166.97755120019303,613.544351796172,29.4,14.746922
72,1.973766776066842,20.60095303652039,50.91101316224819,44.58278981855797,24.8,13.0,15.9,172.34520762581337,633.2444694598572,29.6,14.992123
73,2.0763836884743685,20.540691825326583,50.18494565094061,44.37182774714261,25.9,11.3,21.8,175.91773133334846,629.7645252305201,29.8,14.287505
74,2.0763836884743685,20.38184279997882,48.81960045688005,44.33400655063124,25.9,11.3,21.8,175.91773133334846,629.7645252305201,29.8,14.287505
75,2.7321685601434105,19.54233358011793,48.24325695537959,43.767310937317966,25.9,11.3,21.8,176.94079800367547,635.4978973200696,30.0,15.188713
76,2.8671312966470284,19.059311439329857,47.55844680835136,43.078086283434274,25.9,11.3,21.8,177.02851410733402,641.5187561291482,30.1,15.839744
77,2.340745694699883,18.08690482825243,46.87064593434766,42.30804956436122,22.9,12.1,22.5,176.93436623381447,637.6042653588214,30.4,15.692118
78,2.57361345653248,17.665017292617637,45.948955437403676,41.26999343691697,22.9,12.1,22.5,179.63305729055284,644.9150855044356,30.9,15.119909
79,2.2139545112988652,17.81793523083408,45.03784615948537,40.70157432692484,22.9,12.1,22.5,184.179755511977,671.7519197991313,30.7,15.271556
80,2.4890307721461786,17.394061311059605,45.87396685179517,41.46076587804842,22.9,12.1,22.5,188.393755193073,647.3338581070248,30.9,15.288702
81,2.1390180127832656,17.838466008134805,44.2765833817548,41.429401510749564,22.0,9.3,24.0,192.44262056943637,654.7610400929692,31.0,15.152458
82,2.129913899405866,18.684660642156384,44.305102029746465,41.17351385167265,22.0,9.3,24.0,195.46751429284325,660.2190665263599,30.7,15.369008
83,2.0024689940284794,19.278249885163067,44.81511254019293,40.51231626090951,22.0,9.3,24.0,199.5794097381718,657.9761426274689,30.9,15.633297
