Kanton;Year;Value
Aargau;1991;76389
Aargau;1992;82870
Aargau;1993;86750
Aargau;1994;91275
Aargau;1995;93919
Aargau;1996;96701
Aargau;1997;97325
Aargau;1998;97532
Aargau;1999;98757
Aargau;2000;100626
Aargau;2001;101817
Aargau;2002;105743
Aargau;2003;108426
Aargau;2004;110717
Aargau;2005;112527
Aargau;2006;114482
Aargau;2007;115404
Aargau;2008;118407
Aargau;2009;123983
Aargau;2010;128757
Aargau;2011;133998
Aargau;2012;137766
Aargau;2013;143252
Aargau;2014;148444
Aargau;2015;153933
Aargau;2016;158398
Aargau;2017;163750
Aargau;2018;167279
Aargau;2019;170424
Aargau;2020;173495
Aargau;2021;177057
Appenzell A.Rh.;1991;6455
Appenzell A.Rh.;1992;7023
Appenzell A.Rh.;1993;7526
Appenzell A.Rh.;1994;7833
Appenzell A.Rh.;1995;7856
Appenzell A.Rh.;1996;7891
Appenzell A.Rh.;1997;7835
Appenzell A.Rh.;1998;7711
Appenzell A.Rh.;1999;7576
Appenzell A.Rh.;2000;7567
Appenzell A.Rh.;2001;7479
Appenzell A.Rh.;2002;7265
Appenzell A.Rh.;2003;7257
Appenzell A.Rh.;2004;7115
Appenzell A.Rh.;2005;7000
Appenzell A.Rh.;2006;6653
Appenzell A.Rh.;2007;6600
Appenzell A.Rh.;2008;6959
Appenzell A.Rh.;2009;7279
Appenzell A.Rh.;2010;7350
Appenzell A.Rh.;2011;7513
Appenzell A.Rh.;2012;7705
Appenzell A.Rh.;2013;7836
Appenzell A.Rh.;2014;8046
Appenzell A.Rh.;2015;8301
Appenzell A.Rh.;2016;8558
Appenzell A.Rh.;2017;8910
Appenzell A.Rh.;2018;8997
Appenzell A.Rh.;2019;9014
Appenzell A.Rh.;2020;9126
Appenzell A.Rh.;2021;9174
Appenzell I.Rh.;1991;1135
Appenzell I.Rh.;1992;1228
Appenzell I.Rh.;1993;1394
Appenzell I.Rh.;1994;1488
Appenzell I.Rh.;1995;1501
Appenzell I.Rh.;1996;1516
Appenzell I.Rh.;1997;1533
Appenzell I.Rh.;1998;1532
Appenzell I.Rh.;1999;1523
Appenzell I.Rh.;2000;1537
Appenzell I.Rh.;2001;1549
Appenzell I.Rh.;2002;1515
Appenzell I.Rh.;2003;1487
Appenzell I.Rh.;2004;1466
Appenzell I.Rh.;2005;1462
Appenzell I.Rh.;2006;1452
Appenzell I.Rh.;2007;1430
Appenzell I.Rh.;2008;1510
Appenzell I.Rh.;2009;1565
Appenzell I.Rh.;2010;1569
Appenzell I.Rh.;2011;1568
Appenzell I.Rh.;2012;1590
Appenzell I.Rh.;2013;1580
Appenzell I.Rh.;2014;1654
Appenzell I.Rh.;2015;1685
Appenzell I.Rh.;2016;1734
Appenzell I.Rh.;2017;1773
Appenzell I.Rh.;2018;1834
Appenzell I.Rh.;2019;1824
Appenzell I.Rh.;2020;1816
Appenzell I.Rh.;2021;1873
Basel-Landschaft;1991;33781
Basel-Landschaft;1992;35009
Basel-Landschaft;1993;36219
Basel-Landschaft;1994;37911
Basel-Landschaft;1995;38871
Basel-Landschaft;1996;39694
Basel-Landschaft;1997;40480
Basel-Landschaft;1998;40951
Basel-Landschaft;1999;41789
Basel-Landschaft;2000;43021
Basel-Landschaft;2001;43595
Basel-Landschaft;2002;45318
Basel-Landschaft;2003;46513
Basel-Landschaft;2004;46979
Basel-Landschaft;2005;47082
Basel-Landschaft;2006;47296
Basel-Landschaft;2007;47621
Basel-Landschaft;2008;48719
Basel-Landschaft;2009;50247
Basel-Landschaft;2010;51696
Basel-Landschaft;2011;52991
Basel-Landschaft;2012;54054
Basel-Landschaft;2013;55614
Basel-Landschaft;2014;57650
Basel-Landschaft;2015;59923
Basel-Landschaft;2016;61742
Basel-Landschaft;2017;63634
Basel-Landschaft;2018;64680
Basel-Landschaft;2019;65736
Basel-Landschaft;2020;66853
Basel-Landschaft;2021;68565
Basel-Stadt;1991;41674
Basel-Stadt;1992;44247
Basel-Stadt;1993;46494
Basel-Stadt;1994;48113
Basel-Stadt;1995;49281
Basel-Stadt;1996;49818
Basel-Stadt;1997;50538
Basel-Stadt;1998;50774
Basel-Stadt;1999;50263
Basel-Stadt;2000;50634
Basel-Stadt;2001;50813
Basel-Stadt;2002;51644
Basel-Stadt;2003;52989
Basel-Stadt;2004;53898
Basel-Stadt;2005;54755
Basel-Stadt;2006;54809
Basel-Stadt;2007;55588
Basel-Stadt;2008;56106
Basel-Stadt;2009;57382
Basel-Stadt;2010;59182
Basel-Stadt;2011;60085
Basel-Stadt;2012;61666
Basel-Stadt;2013;62928
Basel-Stadt;2014;64857
Basel-Stadt;2015;66306
Basel-Stadt;2016;67452
Basel-Stadt;2017;69044
Basel-Stadt;2018;69761
Basel-Stadt;2019;70899
Basel-Stadt;2020;71759
Basel-Stadt;2021;72584
Bern;1991;85946
Bern;1992;91859
Bern;1993;95198
Bern;1994;99247
Bern;1995;102516
Bern;1996;104944
Bern;1997;106235
Bern;1998;106959
Bern;1999;108208
Bern;2000;110577
Bern;2001;110946
Bern;2002;114651
Bern;2003;115884
Bern;2004;117094
Bern;2005;118423
Bern;2006;118712
Bern;2007;117709
Bern;2008;119930
Bern;2009;123649
Bern;2010;127082
Bern;2011;131702
Bern;2012;134814
Bern;2013;139015
Bern;2014;145541
Bern;2015;151503
Bern;2016;157466
Bern;2017;164899
Bern;2018;166781
Bern;2019;169071
Bern;2020;172286
Bern;2021;173451
Freiburg;1991;21576
Freiburg;1992;23963
Freiburg;1993;25939
Freiburg;1994;28227
Freiburg;1995;29811
Freiburg;1996;30186
Freiburg;1997;31250
Freiburg;1998;31519
Freiburg;1999;32133
Freiburg;2000;32856
Freiburg;2001;33034
Freiburg;2002;34149
Freiburg;2003;35740
Freiburg;2004;37043
Freiburg;2005;38301
Freiburg;2006;39692
Freiburg;2007;41112
Freiburg;2008;43838
Freiburg;2009;46066
Freiburg;2010;48357
Freiburg;2011;50829
Freiburg;2012;54329
Freiburg;2013;58290
Freiburg;2014;61823
Freiburg;2015;64928
Freiburg;2016;67279
Freiburg;2017;69827
Freiburg;2018;70931
Freiburg;2019;72359
Freiburg;2020;73456
Freiburg;2021;75209
Genf;1991;137802
Genf;1992;140551
Genf;1993;142602
Genf;1994;145356
Genf;1995;147709
Genf;1996;150121
Genf;1997;148089
Genf;1998;149203
Genf;1999;149923
Genf;2000;152364
Genf;2001;153321
Genf;2002;155082
Genf;2003;158193
Genf;2004;160344
Genf;2005;161523
Genf;2006;162835
Genf;2007;161701
Genf;2008;163951
Genf;2009;170094
Genf;2010;175478
Genf;2011;178991
Genf;2012;181225
Genf;2013;183684
Genf;2014;189798
Genf;2015;195488
Genf;2016;197215
Genf;2017;196883
Genf;2018;198574
Genf;2019;199940
Genf;2020;201436
Genf;2021;203612
Glarus;1991;6902
Glarus;1992;7321
Glarus;1993;7563
Glarus;1994;7866
Glarus;1995;8095
Glarus;1996;8188
Glarus;1997;7990
Glarus;1998;7787
Glarus;1999;7669
Glarus;2000;7674
Glarus;2001;7565
Glarus;2002;7645
Glarus;2003;7642
Glarus;2004;7786
Glarus;2005;7769
Glarus;2006;7594
Glarus;2007;7406
Glarus;2008;7314
Glarus;2009;7430
Glarus;2010;7613
Glarus;2011;7877
Glarus;2012;8375
Glarus;2013;8574
Glarus;2014;8798
Glarus;2015;8996
Glarus;2016;9307
Glarus;2017;9497
Glarus;2018;9713
Glarus;2019;9732
Glarus;2020;9825
Glarus;2021;10098
Graubünden;1991;18349
Graubünden;1992;20117
Graubünden;1993;22183
Graubünden;1994;24046
Graubünden;1995;25692
Graubünden;1996;25784
Graubünden;1997;25695
Graubünden;1998;25365
Graubünden;1999;24976
Graubünden;2000;24792
Graubünden;2001;24289
Graubünden;2002;24210
Graubünden;2003;25167
Graubünden;2004;25802
Graubünden;2005;26221
Graubünden;2006;26652
Graubünden;2007;27087
Graubünden;2008;28008
Graubünden;2009;29619
Graubünden;2010;30933
Graubünden;2011;32104
