Kanton,Year,Value
Aargau,1999,352860
Aargau,2000,362575
Aargau,2001,372143
Aargau,2002,389112
Aargau,2003,389112
Aargau,2004,396519
Aargau,2005,403231
Aargau,2006,409764
Aargau,2007,417742
Aargau,2008,424718
Aargau,2009,428203
Aargau,2010,440480
Aargau,2011,452282
Aargau,2012,463958
Aargau,2013,473792
Aargau,2014,483150
Aargau,2015,490185
Aargau,2016,498194
Aargau,2017,505108
Aargau,2018,513127
Aargau,2019,519246
Aargau,2020,528456
Aargau,2021,536975
Appenzell A. Rh.,1999,33563
Appenzell A. Rh.,2000,34214
Appenzell A. Rh.,2001,34739
Appenzell A. Rh.,2002,35868
Appenzell A. Rh.,2003,35868
Appenzell A. Rh.,2004,36415
Appenzell A. Rh.,2005,36689
Appenzell A. Rh.,2006,36205
Appenzell A. Rh.,2007,36704
Appenzell A. Rh.,2008,37724
Appenzell A. Rh.,2009,38963
Appenzell A. Rh.,2010,37612
Appenzell A. Rh.,2011,38536
Appenzell A. Rh.,2012,39530
Appenzell A. Rh.,2013,40323
Appenzell A. Rh.,2014,41122
Appenzell A. Rh.,2015,41947
Appenzell A. Rh.,2016,42651
Appenzell A. Rh.,2017,43378
Appenzell A. Rh.,2018,43717
Appenzell A. Rh.,2019,43888
Appenzell A. Rh.,2020,44351
Appenzell A. Rh.,2021,44830
Appenzell I. Rh.,1999,9225
Appenzell I. Rh.,2000,9520
Appenzell I. Rh.,2001,9801
Appenzell I. Rh.,2002,10237
Appenzell I. Rh.,2003,10237
Appenzell I. Rh.,2004,10484
Appenzell I. Rh.,2005,10692
Appenzell I. Rh.,2006,10823
Appenzell I. Rh.,2007,11075
Appenzell I. Rh.,2008,11216
Appenzell I. Rh.,2009,11903
Appenzell I. Rh.,2010,11968
Appenzell I. Rh.,2011,12295
Appenzell I. Rh.,2012,12533
Appenzell I. Rh.,2013,12731
Appenzell I. Rh.,2014,12948
Appenzell I. Rh.,2015,13379
Appenzell I. Rh.,2016,13719
Appenzell I. Rh.,2017,13978
Appenzell I. Rh.,2018,14193
Appenzell I. Rh.,2019,14412
Appenzell I. Rh.,2020,14671
Appenzell I. Rh.,2021,14953
Basel-Landschaft,1999,152198
Basel-Landschaft,2000,156192
Basel-Landschaft,2001,160186
Basel-Landschaft,2002,166511
Basel-Landschaft,2003,166511
Basel-Landschaft,2004,168485
Basel-Landschaft,2005,169099
Basel-Landschaft,2006,171392
Basel-Landschaft,2007,171608
Basel-Landschaft,2008,174910
Basel-Landschaft,2009,183264
Basel-Landschaft,2010,177631
Basel-Landschaft,2011,180295
Basel-Landschaft,2012,182575
Basel-Landschaft,2013,183349
Basel-Landschaft,2014,185406
Basel-Landschaft,2015,187537
Basel-Landschaft,2016,189909
Basel-Landschaft,2017,191895
Basel-Landschaft,2018,193540
Basel-Landschaft,2019,195220
Basel-Landschaft,2020,197987
Basel-Landschaft,2021,200030
Basel-Stadt,1999,79379
Basel-Stadt,2000,79693
Basel-Stadt,2001,81031
Basel-Stadt,2002,82125
Basel-Stadt,2003,82125
Basel-Stadt,2004,82111
Basel-Stadt,2005,83603
Basel-Stadt,2006,82395
Basel-Stadt,2007,82424
Basel-Stadt,2008,83478
Basel-Stadt,2009,82159
Basel-Stadt,2010,84209
Basel-Stadt,2011,85039
Basel-Stadt,2012,86232
