Kanton;Jahr;CVP;SP;SVP
Zürich;1971;1.0;1.0;1.0
Bern;1971;;;
Luzern;1971;;;
Uri;1971;;;
Schwyz ;1971;;;
Obwalden;1971;;;
Nidwalden;1971;;;
Glarus;1971;;;
Zug;1971;;;
Freiburg;1971;44.4;20.8;6.5
Solothurn;1971;;;
Basel-Stadt;1971;;;
Basel-Landschaft;1971;;;
Schaffhausen;1971;;;
Appenzell A. Rh. ;1971;;;
Appenzell I. Rh.;1971;;;
St. Gallen;1971;;;
Graubünden;1971;;;
Aargau;1971;;;
Thurgau ;1971;;;
Tessin;1971;;;
Waadt;1971;;;
Wallis;1971;;;
Neuenburg;1971;;;
Genf;1971;;;
Zürich;1972;;;
Bern;1972;;;
Luzern;1972;;;
Uri;1972;;;
Schwyz ;1972;47.0;18.5;1.9
Obwalden;1972;;;
Nidwalden;1972;;;
Glarus;1972;;;
Zug;1972;;;
Freiburg;1972;44.4;20.8;6.5
Solothurn;1972;;;
Basel-Stadt;1972;13.1;25.6;0.8
Basel-Landschaft;1972;;;
Schaffhausen;1972;9.2;32.4;20.6
Appenzell A. Rh. ;1972;;;
Appenzell I. Rh.;1972;;;
St. Gallen;1972;46.2;13.0;0.1
Graubünden;1972;;;
Aargau;1972;;;
Thurgau ;1972;25.1;16.4;24.4
Tessin;1972;;;
Waadt;1972;;;
Wallis;1972;;;
Neuenburg;1972;;;
Genf;1972;;;
Zürich;1973;;;
Bern;1973;;;
Luzern;1973;;;
Uri;1973;;;
Schwyz ;1973;47.0;18.5;1.9
Obwalden;1973;;;
Nidwalden;1973;;;
Glarus;1973;;;
Zug;1973;;;
Freiburg;1973;44.4;20.8;6.5
Solothurn;1973;27.7;25.6;
Basel-Stadt;1973;13.1;25.6;0.8
Basel-Landschaft;1973;;;
Schaffhausen;1973;9.2;32.4;20.6
Appenzell A. Rh. ;1973;;;
Appenzell I. Rh.;1973;;;
St. Gallen;1973;46.2;13.0;0.1
Graubünden;1973;;;
Aargau;1973;23.9;22.2;14.5
Thurgau ;1973;25.1;16.4;24.4
Tessin;1973;;;
Waadt;1973;;;
Wallis;1973;59.8;11.1;0.0
Neuenburg;1973;0.0;33.5;0.0
Genf;1973;15.8;17.4;0.0
Zürich;1974;;;
Bern;1974;5.9;28.1;34.3
Luzern;1974;;;
Uri;1974;;;
Schwyz ;1974;47.0;18.5;1.9
Obwalden;1974;;;
Nidwalden;1974;;;
Glarus;1974;18.6;19.2;28.4
Zug;1974;48.2;11.1;0.0
Freiburg;1974;44.4;20.8;6.5
Solothurn;1974;27.7;25.6;0.0
Basel-Stadt;1974;13.1;25.6;0.8
Basel-Landschaft;1974;;;
Schaffhausen;1974;9.2;32.4;20.6
Appenzell A. Rh. ;1974;;;
Appenzell I. Rh.;1974;;;
St. Gallen;1974;46.2;13.0;0.1
Graubünden;1974;;;
Aargau;1974;23.9;22.2;14.5
Thurgau ;1974;25.1;16.4;24.4
Tessin;1974;;;
Waadt;1974;3.5;25.8;8.7
Wallis;1974;59.8;11.1;0.0
Neuenburg;1974;0.0;33.5;0.0
Genf;1974;15.8;17.4;0.0
Zürich;1975;11.2;21.8;16.4
Bern;1975;5.9;28.1;34.3
Luzern;1975;50.0;7.5;0.0
Uri;1975;;;
Schwyz ;1975;47.0;18.5;1.9
Obwalden;1975;;;
Nidwalden;1975;;;
Glarus;1975;18.6;19.2;28.4
Zug;1975;48.2;11.1;0.0
Freiburg;1975;44.4;20.8;6.5
Solothurn;1975;27.7;25.6;0.0
Basel-Stadt;1975;13.1;25.6;0.8
Basel-Landschaft;1975;12.6;24.4;8.2
Schaffhausen;1975;9.2;32.4;20.6
Appenzell A. Rh. ;1975;;;
Appenzell I. Rh.;1975;;;
St. Gallen;1975;46.2;13.0;0.1
Graubünden;1975;;;
Aargau;1975;23.9;22.2;14.5
Thurgau ;1975;25.1;16.4;24.4
Tessin;1975;34.3;12.9;2.9
Waadt;1975;3.5;25.8;8.7
Wallis;1975;59.8;11.1;0.0
Neuenburg;1975;0.0;33.5;0.0
Genf;1975;15.8;17.4;0.0
Zürich;1976;11.2;21.8;16.4
Bern;1976;5.9;28.1;34.3
Luzern;1976;50.0;7.5;0.0
Uri;1976;;;
Schwyz ;1976;46.4;18.0;2.3
Obwalden;1976;;;
Nidwalden;1976;;;
Glarus;1976;18.6;19.2;28.4
Zug;1976;48.2;11.1;0.0
Freiburg;1976;44.3;22.0;6.7
Solothurn;1976;27.7;25.6;0.0
Basel-Stadt;1976;12.7;28.6;0.0
Basel-Landschaft;1976;12.6;24.4;8.2
Schaffhausen;1976;9.8;29.5;20.3
Appenzell A. Rh. ;1976;;;
Appenzell I. Rh.;1976;;;
St. Gallen;1976;45.5;15.4;0.0
Graubünden;1976;;;
Aargau;1976;23.9;22.2;14.5
Thurgau ;1976;24.2;19.3;26.1
Tessin;1976;34.3;12.9;2.9
Waadt;1976;3.5;25.8;8.7
Wallis;1976;59.8;11.1;0.0
Neuenburg;1976;0.0;33.5;0.0
Genf;1976;15.8;17.4;0.0
Jura;1976;32.5;18.1;2.8
Zürich;1977;11.2;21.8;16.4
Bern;1977;5.9;28.1;34.3
Luzern;1977;50.0;7.5;0.0
Uri;1977;;;
Schwyz ;1977;46.4;18.0;2.3
Obwalden;1977;;;
Nidwalden;1977;;;
Glarus;1977;18.6;19.2;28.4
Zug;1977;48.2;11.1;0.0
Freiburg;1977;44.3;22.0;6.7
Solothurn;1977;28.8;25.3;0.0
Basel-Stadt;1977;12.7;28.6;0.0
Basel-Landschaft;1977;12.6;24.4;8.2
Schaffhausen;1977;9.8;29.5;20.3
Appenzell A. Rh. ;1977;;;
Appenzell I. Rh.;1977;;;
St. Gallen;1977;45.5;15.4;0.0
Graubünden;1977;;;
Aargau;1977;23.2;24.6;14.5
Thurgau ;1977;24.2;19.3;26.1
Tessin;1977;34.3;12.9;2.9
Waadt;1977;3.5;25.8;8.7
Wallis;1977;60.2;11.7;0.0
Neuenburg;1977;0.0;34.5;0.0
Genf;1977;13.5;22.7;0.0
Jura;1977;32.5;18.1;2.8
Zürich;1978;11.2;21.8;16.4
Bern;1978;2.1;30.0;38.3
Luzern;1978;50.0;7.5;0.0
Uri;1978;;;
Schwyz ;1978;46.4;18.0;2.3
Obwalden;1978;;;
Nidwalden;1978;;;
Glarus;1978;20.8;21.5;26.7
Zug;1978;47.5;14.5;0.0
Freiburg;1978;44.3;22.0;6.7
Solothurn;1978;28.8;25.3;0.0
Basel-Stadt;1978;12.7;28.6;0.0
Basel-Landschaft;1978;12.6;24.4;8.2
Schaffhausen;1978;9.8;29.5;20.3
Appenzell A. Rh. ;1978;;;
Appenzell I. Rh.;1978;;;
St. Gallen;1978;45.5;15.4;0.0
Graubünden;1978;;;
Aargau;1978;23.2;24.6;14.5
Thurgau ;1978;24.2;19.3;26.1
Tessin;1978;34.3;12.9;2.9
Waadt;1978;4.3;29.8;7.9
Wallis;1978;60.2;11.7;0.0
Neuenburg;1978;0.0;34.5;0.0
Genf;1978;13.5;22.7;0.0
Jura;1978;32.5;18.1;2.8
Zürich;1979;11.0;25.1;17.5
Bern;1979;2.1;30.0;38.3
Luzern;1979;50.9;7.9;0.0
Uri;1979;;;
Schwyz ;1979;46.4;18.0;2.3
Obwalden;1979;;;
Nidwalden;1979;;;
Glarus;1979;20.8;21.5;26.7
Zug;1979;47.5;14.5;0.0
Freiburg;1979;44.3;22.0;6.7
Solothurn;1979;28.8;25.3;0.0
Basel-Stadt;1979;12.7;28.6;0.0
Basel-Landschaft;1979;13.1;30.4;12.3
Schaffhausen;1979;9.8;29.5;20.3
Appenzell A. Rh. ;1979;;;
Appenzell I. Rh.;1979;;;
St. Gallen;1979;45.5;15.4;0.0
Graubünden;1979;;;
Aargau;1979;23.2;24.6;14.5
Thurgau ;1979;24.2;19.3;26.1
Tessin;1979;33.8;12.9;3.2
Waadt;1979;4.3;29.8;7.9
Wallis;1979;60.2;11.7;0.0
Neuenburg;1979;0.0;34.5;0.0
Genf;1979;13.5;22.7;0.0
Jura;1979;32.5;18.1;2.8
Zürich;1980;11.0;25.1;17.5
Bern;1980;2.1;30.0;38.3
Luzern;1980;50.9;7.9;0.0
Uri;1980;;;
Schwyz ;1980;49.7;15.5;4.3
Obwalden;1980;;;
Nidwalden;1980;;;
Glarus;1980;20.8;21.5;26.7
Zug;1980;47.5;14.5;0.0
Freiburg;1980;44.3;22.0;6.7
Solothurn;1980;28.8;25.3;0.0
