Kanton;Year;Population
Aargau;1999;540639
Aargau;2000;544306
Aargau;2001;550298
Aargau;2002;555782
Aargau;2003;560674
Aargau;2004;565122
Aargau;2005;569344
Aargau;2006;574813
Aargau;2007;581562
Aargau;2008;591632
Aargau;2009;600040
Aargau;2010;611466
Aargau;2011;618298
Aargau;2012;627340
Aargau;2013;636362
Aargau;2014;645277
Aargau;2015;653675
Aargau;2016;663462
Aargau;2017;670988
Aargau;2018;678207
Aargau;2019;685845
Aargau;2020;694072
Aargau;2021;703086
Appenzell A. Rh.;1999;53737
Appenzell A. Rh.;2000;53515
Appenzell A. Rh.;2001;53138
Appenzell A. Rh.;2002;53097
Appenzell A. Rh.;2003;52976
Appenzell A. Rh.;2004;52841
Appenzell A. Rh.;2005;52561
Appenzell A. Rh.;2006;52509
Appenzell A. Rh.;2007;52654
Appenzell A. Rh.;2008;53054
Appenzell A. Rh.;2009;53043
Appenzell A. Rh.;2010;53017
Appenzell A. Rh.;2011;53313
Appenzell A. Rh.;2012;53438
Appenzell A. Rh.;2013;53691
Appenzell A. Rh.;2014;54064
Appenzell A. Rh.;2015;54543
Appenzell A. Rh.;2016;54954
Appenzell A. Rh.;2017;55178
Appenzell A. Rh.;2018;55234
Appenzell A. Rh.;2019;55445
Appenzell A. Rh.;2020;55309
Appenzell A. Rh.;2021;55585
Appenzell I. Rh.;1999;14946
Appenzell I. Rh.;2000;15021
Appenzell I. Rh.;2001;14977
Appenzell I. Rh.;2002;14985
Appenzell I. Rh.;2003;15010
Appenzell I. Rh.;2004;15029
Appenzell I. Rh.;2005;15220
Appenzell I. Rh.;2006;15300
Appenzell I. Rh.;2007;15471
Appenzell I. Rh.;2008;15549
Appenzell I. Rh.;2009;15681
Appenzell I. Rh.;2010;15688
Appenzell I. Rh.;2011;15743
Appenzell I. Rh.;2012;15717
Appenzell I. Rh.;2013;15778
Appenzell I. Rh.;2014;15854
Appenzell I. Rh.;2015;15974
Appenzell I. Rh.;2016;16003
Appenzell I. Rh.;2017;16105
Appenzell I. Rh.;2018;16145
Appenzell I. Rh.;2019;16128
Appenzell I. Rh.;2020;16293
Appenzell I. Rh.;2021;16360
Basel-Landschaft;1999;258602
Basel-Landschaft;2000;260036
Basel-Landschaft;2001;261083
Basel-Landschaft;2002;262949
Basel-Landschaft;2003;264402
Basel-Landschaft;2004;265305
Basel-Landschaft;2005;266089
Basel-Landschaft;2006;267166
Basel-Landschaft;2007;269145
Basel-Landschaft;2008;271214
Basel-Landschaft;2009;272815
Basel-Landschaft;2010;274404
Basel-Landschaft;2011;275360
Basel-Landschaft;2012;276537
Basel-Landschaft;2013;278656
Basel-Landschaft;2014;281301
Basel-Landschaft;2015;283231
Basel-Landschaft;2016;285624
Basel-Landschaft;2017;287023
Basel-Landschaft;2018;288132
Basel-Landschaft;2019;289468
Basel-Landschaft;2020;290969
Basel-Landschaft;2021;292817
Basel-Stadt;1999;188458
Basel-Stadt;2000;187667
Basel-Stadt;2001;186469
Basel-Stadt;2002;186719
Basel-Stadt;2003;186653
Basel-Stadt;2004;186753
Basel-Stadt;2005;185601
Basel-Stadt;2006;184822
Basel-Stadt;2007;185227
Basel-Stadt;2008;186672
Basel-Stadt;2009;187898
Basel-Stadt;2010;184950
Basel-Stadt;2011;186255
Basel-Stadt;2012;187425
Basel-Stadt;2013;189335
Basel-Stadt;2014;190580
Basel-Stadt;2015;191817
Basel-Stadt;2016;193070
Basel-Stadt;2017;193908
Basel-Stadt;2018;194766
Basel-Stadt;2019;195844
Basel-Stadt;2020;196735
Basel-Stadt;2021;196036
Bern;1999;943427
Bern;2000;943696
Bern;2001;946310
Bern;2002;949590
Bern;2003;951957
Bern;2004;955378
Bern;2005;957064
Bern;2006;958897
Bern;2007;962982
Bern;2008;969299
Bern;2009;974235
Bern;2010;979802
Bern;2011;985046
Bern;2012;992617
Bern;2013;1001281
Bern;2014;1009418
Bern;2015;1017483
Bern;2016;1026513
Bern;2017;1031126
Bern;2018;1034977
Bern;2019;1039474
Bern;2020;1043132
Bern;2021;1047473
Freiburg;1999;234307
Freiburg;2000;236339
Freiburg;2001;240339
Freiburg;2002;243400
Freiburg;2003;246656
Freiburg;2004;250377
Freiburg;2005;253954
Freiburg;2006;258252
Freiburg;2007;263241
Freiburg;2008;268537
Freiburg;2009;273159
Freiburg;2010;278493
Freiburg;2011;284668
