Year;Kanton;Divorces
1969;Schweiz;5982
1969;Zürich;1527
1969;Bern;692
1969;Luzern;161
1969;Uri;8
1969;Schwyz;40
1969;Obwalden;8
1969;Nidwalden;8
1969;Glarus;22
1969;Zug;49
1969;Freiburg;72
1969;Solothurn;184
1969;Basel-Stadt;399
1969;Basel-Landschaft;170
1969;Schaffhausen;88
1969;Appenzell A. Rh.;42
1969;Appenzell I. Rh.;2
1969;St. Gallen;269
1969;Graubünden;78
1969;Aargau;288
1969;Thurgau;161
1969;Tessin;164
1969;Waadt;658
1969;Wallis;41
1969;Neuenburg;216
1969;Genf;594
1969;Jura;41
1970;Schweiz;6406
1970;Zürich;1624
1970;Bern;726
1970;Luzern;191
1970;Uri;11
1970;Schwyz;40
1970;Obwalden;1
1970;Nidwalden;12
1970;Glarus;20
1970;Zug;56
1970;Freiburg;77
1970;Solothurn;195
1970;Basel-Stadt;401
1970;Basel-Landschaft;204
1970;Schaffhausen;76
1970;Appenzell A. Rh.;48
1970;Appenzell I. Rh.;1
1970;St. Gallen;280
1970;Graubünden;76
1970;Aargau;368
1970;Thurgau;178
1970;Tessin;156
1970;Waadt;646
1970;Wallis;72
1970;Neuenburg;242
1970;Genf;663
1970;Jura;42
1971;Schweiz;7036
1971;Zürich;1646
1971;Bern;873
1971;Luzern;182
1971;Uri;8
1971;Schwyz;50
1971;Obwalden;9
1971;Nidwalden;14
1971;Glarus;19
1971;Zug;66
1971;Freiburg;89
1971;Solothurn;190
1971;Basel-Stadt;473
1971;Basel-Landschaft;260
1971;Schaffhausen;120
1971;Appenzell A. Rh.;50
1971;Appenzell I. Rh.;4
1971;St. Gallen;322
1971;Graubünden;95
1971;Aargau;391
1971;Thurgau;203
1971;Tessin;191
1971;Waadt;674
1971;Wallis;72
1971;Neuenburg;264
1971;Genf;713
1971;Jura;58
1972;Schweiz;7651
1972;Zürich;1845
1972;Bern;976
1972;Luzern;196
1972;Uri;12
1972;Schwyz;71
1972;Obwalden;14
1972;Nidwalden;15
1972;Glarus;32
1972;Zug;85
1972;Freiburg;86
1972;Solothurn;222
1972;Basel-Stadt;377
1972;Basel-Landschaft;253
1972;Schaffhausen;87
