Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2003/04;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Vorschule/Eingangsstufe;;; Primarstufe;;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Im Ganzen;;; Grundansprüche;;; Erweiterte Ansprüche ;;; Ohne Niveauunterscheidung;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Total;956018 ;490907 ;465111 ;147080 ;75535 ;71545 ;465777 ;236277 ;229500 ;292730 ;147712 ;145018 ;79176 ;44020 ;35156 ;169006 ;80889 ;88117 ;44548 ;22803 ;21745 ;50431 ;31383 ;19048 
;;;;;;;;;;;;;;;;;;;;;;;;
Genferseeregion;180714 ;92668 ;88046 ;29976 ;15199 ;14777 ;80555 ;41047 ;39508 ;62344 ;31449 ;30895 ;10483 ;5903 ;4580 ;28176 ;13605 ;14571 ;23685 ;11941 ;11744 ;7839 ;4973 ;2866 
Waadt;86715 ;44461 ;42254 ;14464 ;7311 ;7153 ;29844 ;15148 ;14696 ;37342 ;18788 ;18554 ;6592 ;3742 ;2850 ;15665 ;7476 ;8189 ;15085 ;7570 ;7515 ;5065 ;3214 ;1851 
Wallis;38646 ;19654 ;18992 ;6175 ;3112 ;3063 ;20980 ;10694 ;10286 ;10773 ;5414 ;5359 ;1466 ;778 ;688 ;2939 ;1405 ;1534 ;6368 ;3231 ;3137 ;718 ;434 ;284 
Genf;55353 ;28553 ;26800 ;9337 ;4776 ;4561 ;29731 ;15205 ;14526 ;14229 ;7247 ;6982 ;2425 ;1383 ;1042 ;9572 ;4724 ;4848 ;2232 ;1140 ;1092 ;2056 ;1325 ;731 
;;;;;;;;;;;;;;;;;;;;;;;;
Espace Mittelland;213044 ;109347 ;103697 ;28023 ;14380 ;13643 ;112531 ;57029 ;55502 ;61757 ;31200 ;30557 ;19802 ;11181 ;8621 ;39497 ;18740 ;20757 ;2458 ;1279 ;1179 ;10733 ;6738 ;3995 
Bern;114638 ;58786 ;55852 ;14818 ;7549 ;7269 ;61701 ;31150 ;30551 ;32148 ;16272 ;15876 ;13607 ;7606 ;6001 ;18073 ;8417 ;9656 ;468 ;249 ;219 ;5971 ;3815 ;2156 
Freiburg;34503 ;17654 ;16849 ;3551 ;1838 ;1713 ;19848 ;10103 ;9745 ;9918 ;4984 ;4934 ;2163 ;1249 ;914 ;7755 ;3735 ;4020 ;- ;- ;- ;1186 ;729 ;457 
Solothurn;32174 ;16526 ;15648 ;4981 ;2575 ;2406 ;15674 ;7941 ;7733 ;9057 ;4519 ;4538 ;1372 ;792 ;580 ;7602 ;3685 ;3917 ;83 ;42 ;41 ;2462 ;1491 ;971 
Neuenburg;21772 ;11183 ;10589 ;2973 ;1545 ;1428 ;9968 ;5047 ;4921 ;8025 ;4103 ;3922 ;1871 ;1085 ;786 ;4247 ;2030 ;2217 ;1907 ;988 ;919 ;806 ;488 ;318 
Jura;9957 ;5198 ;4759 ;1700 ;873 ;827 ;5340 ;2788 ;2552 ;2609 ;1322 ;1287 ;789 ;449 ;340 ;1820 ;873 ;947 ;- ;- ;- ;308 ;215 ;93 
;;;;;;;;;;;;;;;;;;;;;;;;
Nordwestschweiz;129786 ;66603 ;63183 ;20889 ;10753 ;10136 ;51164 ;25934 ;25230 ;48380 ;24279 ;24101 ;10484 ;5716 ;4768 ;32136 ;15560 ;16576 ;5760 ;3003 ;2757 ;9353 ;5637 ;3716 
Basel-Stadt;18533 ;9529 ;9004 ;3030 ;1547 ;1483 ;5822 ;2902 ;2920 ;8182 ;4152 ;4030 ;50 ;29 ;21 ;2854 ;1369 ;1485 ;5278 ;2754 ;2524 ;1499 ;928 ;571 
Basel-Landschaft;32861 ;16739 ;16122 ;5431 ;2824 ;2607 ;13269 ;6647 ;6622 ;11732 ;5808 ;5924 ;3404 ;1841 ;1563 ;7962 ;3780 ;4182 ;366 ;187 ;179 ;2429 ;1460 ;969 
Aargau;78392 ;40335 ;38057 ;12428 ;6382 ;6046 ;32073 ;16385 ;15688 ;28466 ;14319 ;14147 ;7030 ;3846 ;3184 ;21320 ;10411 ;10909 ;116 ;62 ;54 ;5425 ;3249 ;2176 
;;;;;;;;;;;;;;;;;;;;;;;;
Zürich;146774 ;75745 ;71029 ;24887 ;12878 ;12009 ;75237 ;38210 ;37027 ;38455 ;19418 ;19037 ;15213 ;8436 ;6777 ;22950 ;10832 ;12118 ;292 ;150 ;142 ;8195 ;5239 ;2956 
;;;;;;;;;;;;;;;;;;;;;;;;
Ostschweiz;152427 ;78318 ;74109 ;23691 ;12194 ;11497 ;77593 ;39410 ;38183 ;42331 ;21325 ;21006 ;14456 ;7871 ;6585 ;25737 ;12356 ;13381 ;2138 ;1098 ;1040 ;8812 ;5389 ;3423 
Glarus;5461 ;2826 ;2635 ;865 ;450 ;415 ;2763 ;1432 ;1331 ;1552 ;774 ;778 ;725 ;383 ;342 ;827 ;391 ;436 ;- ;- ;- ;281 ;170 ;111 
Schaffhausen;9875 ;5058 ;4817 ;1503 ;797 ;706 ;4820 ;2424 ;2396 ;2842 ;1397 ;1445 ;1093 ;571 ;522 ;1596 ;738 ;858 ;153 ;88 ;65 ;710 ;440 ;270 
Appenzell A. Rh.;7947 ;4234 ;3713 ;1310 ;681 ;629 ;4275 ;2281 ;1994 ;2083 ;1091 ;992 ;476 ;258 ;218 ;1607 ;833 ;774 ;- ;- ;- ;279 ;181 ;98 
Appenzell I. Rh.;2562 ;1362 ;1200 ;405 ;223 ;182 ;1339 ;687 ;652 ;772 ;425 ;347 ;234 ;145 ;89 ;538 ;280 ;258 ;- ;- ;- ;46 ;27 ;19 
St. Gallen;68241 ;34997 ;33244 ;10530 ;5363 ;5167 ;34367 ;17432 ;16935 ;18745 ;9390 ;9355 ;6473 ;3517 ;2956 ;12163 ;5817 ;6346 ;109 ;56 ;53 ;4599 ;2812 ;1787 
Graubünden;23972 ;12238 ;11734 ;3792 ;1924 ;1868 ;12462 ;6286 ;6176 ;6885 ;3500 ;3385 ;2130 ;1223 ;907 ;4755 ;2277 ;2478 ;- ;- ;- ;833 ;528 ;305 
Thurgau;34369 ;17603 ;16766 ;5286 ;2756 ;2530 ;17567 ;8868 ;8699 ;9452 ;4748 ;4704 ;3325 ;1774 ;1551 ;4251 ;2020 ;2231 ;1876 ;954 ;922 ;2064 ;1231 ;833 
;;;;;;;;;;;;;;;;;;;;;;;;
Zentralschweiz;95878 ;48884 ;46994 ;11422 ;5922 ;5500 ;52610 ;26411 ;26199 ;26963 ;13543 ;13420 ;7059 ;3927 ;3132 ;17288 ;8235 ;9053 ;2616 ;1381 ;1235 ;4883 ;3008 ;1875 
