Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2007/08;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Vorschule/Eingangsstufe;;; Primarstufe;;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Im Ganzen;;; Grundansprüche;;; Erweiterte Ansprüche ;;; Ohne Niveauunterscheidung;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Total;923633 ;474825 ;448808 ;141659 ;72896 ;68763 ;445136 ;226241 ;218895 ;292348 ;147705 ;144643 ;77382 ;42593 ;34789 ;173211 ;83595 ;89616 ;41755 ;21517 ;20238 ;44490 ;27983 ;16507 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Genferseeregion;179934 ;92278 ;87656 ;29265 ;15048 ;14217 ;79905 ;40517 ;39388 ;63962 ;32347 ;31615 ;10727 ;5853 ;4874 ;29623 ;14426 ;15197 ;23612 ;12068 ;11544 ;6802 ;4366 ;2436 ;
Waadt;86553 ;44229 ;42324 ;14264 ;7341 ;6923 ;30125 ;15115 ;15010 ;37909 ;19066 ;18843 ;6551 ;3530 ;3021 ;16369 ;7884 ;8485 ;14989 ;7652 ;7337 ;4255 ;2707 ;1548 ;
Wallis;37210 ;19098 ;18112 ;5765 ;3026 ;2739 ;19907 ;10122 ;9785 ;10957 ;5559 ;5398 ;1443 ;775 ;668 ;2940 ;1407 ;1533 ;6574 ;3377 ;3197 ;581 ;391 ;190 ;
Genf;56171 ;28951 ;27220 ;9236 ;4681 ;4555 ;29873 ;15280 ;14593 ;15096 ;7722 ;7374 ;2733 ;1548 ;1185 ;10314 ;5135 ;5179 ;2049 ;1039 ;1010 ;1966 ;1268 ;698 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Espace Mittelland;206075 ;105748 ;100327 ;28540 ;14687 ;13853 ;105738 ;53502 ;52236 ;61380 ;30904 ;30476 ;18448 ;10280 ;8168 ;40325 ;19280 ;21045 ;2607 ;1344 ;1263 ;10417 ;6655 ;3762 ;
Bern;109389 ;56040 ;53349 ;15396 ;7864 ;7532 ;56447 ;28463 ;27984 ;31558 ;15895 ;15663 ;12294 ;6822 ;5472 ;18597 ;8692 ;9905 ;667 ;381 ;286 ;5988 ;3818 ;2170 ;
Freiburg;35225 ;17993 ;17232 ;3650 ;1909 ;1741 ;19742 ;10005 ;9737 ;10638 ;5333 ;5305 ;2271 ;1264 ;1007 ;8367 ;4069 ;4298 ;- ;- ;- ;1195 ;746 ;449 ;
Solothurn;30157 ;15542 ;14615 ;4591 ;2380 ;2211 ;14874 ;7541 ;7333 ;8642 ;4309 ;4333 ;1259 ;702 ;557 ;7277 ;3552 ;3725 ;106 ;55 ;51 ;2050 ;1312 ;738 ;
Neuenburg;21678 ;11167 ;10511 ;3357 ;1746 ;1611 ;9540 ;4882 ;4658 ;7950 ;4010 ;3940 ;1853 ;1035 ;818 ;4263 ;2067 ;2196 ;1834 ;908 ;926 ;831 ;529 ;302 ;
Jura;9626 ;5006 ;4620 ;1546 ;788 ;758 ;5135 ;2611 ;2524 ;2592 ;1357 ;1235 ;771 ;457 ;314 ;1821 ;900 ;921 ;- ;- ;- ;353 ;250 ;103 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Nordwestschweiz;122766 ;63364 ;59402 ;19231 ;9987 ;9244 ;48281 ;24609 ;23672 ;46971 ;23792 ;23179 ;10350 ;5640 ;4710 ;33072 ;16276 ;16796 ;3549 ;1876 ;1673 ;8283 ;4976 ;3307 ;
Basel-Stadt;17299 ;9037 ;8262 ;2868 ;1472 ;1396 ;5458 ;2798 ;2660 ;7943 ;4106 ;3837 ;746 ;391 ;355 ;4080 ;2053 ;2027 ;3117 ;1662 ;1455 ;1030 ;661 ;369 ;
Basel-Landschaft;31259 ;16034 ;15225 ;4868 ;2555 ;2313 ;12615 ;6346 ;6269 ;11387 ;5679 ;5708 ;3135 ;1705 ;1430 ;7924 ;3815 ;4109 ;328 ;159 ;169 ;2389 ;1454 ;935 ;
Aargau;74208 ;38293 ;35915 ;11495 ;5960 ;5535 ;30208 ;15465 ;14743 ;27641 ;14007 ;13634 ;6469 ;3544 ;2925 ;21068 ;10408 ;10660 ;104 ;55 ;49 ;4864 ;2861 ;2003 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Zürich;145275 ;74786 ;70489 ;24545 ;12462 ;12083 ;75218 ;38496 ;36722 ;38930 ;19619 ;19311 ;15057 ;8243 ;6814 ;23618 ;11269 ;12349 ;255 ;107 ;148 ;6582 ;4209 ;2373 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Ostschweiz;140902 ;72496 ;68406 ;21222 ;10817 ;10405 ;70805 ;36039 ;34766 ;41268 ;20892 ;20376 ;14110 ;7740 ;6370 ;24793 ;11906 ;12887 ;2365 ;1246 ;1119 ;7607 ;4748 ;2859 ;
Glarus;4838 ;2550 ;2288 ;722 ;393 ;329 ;2437 ;1261 ;1176 ;1450 ;763 ;687 ;681 ;390 ;291 ;769 ;373 ;396 ;- ;- ;- ;229 ;133 ;96 ;
Schaffhausen;8956 ;4636 ;4320 ;1349 ;685 ;664 ;4439 ;2310 ;2129 ;2630 ;1313 ;1317 ;912 ;489 ;423 ;1578 ;745 ;833 ;140 ;79 ;61 ;538 ;328 ;210 ;
Appenzell A. Rh.;7147 ;3814 ;3333 ;993 ;522 ;471 ;3825 ;2013 ;1812 ;2094 ;1113 ;981 ;571 ;349 ;222 ;1236 ;599 ;637 ;287 ;165 ;122 ;235 ;166 ;69 ;
Appenzell I. Rh.;2434 ;1249 ;1185 ;374 ;193 ;181 ;1194 ;605 ;589 ;795 ;407 ;388 ;207 ;112 ;95 ;483 ;238 ;245 ;105 ;57 ;48 ;71 ;44 ;27 ;
St. Gallen;62950 ;32106 ;30844 ;9584 ;4833 ;4751 ;31075 ;15570 ;15505 ;18193 ;9157 ;9036 ;6459 ;3465 ;2994 ;11573 ;5646 ;5927 ;161 ;46 ;115 ;4098 ;2546 ;1552 ;
Graubünden;22292 ;11444 ;10848 ;3481 ;1769 ;1712 ;11481 ;5877 ;5604 ;6564 ;3314 ;3250 ;2070 ;1203 ;867 ;4494 ;2111 ;2383 ;- ;- ;- ;766 ;484 ;282 ;
Thurgau;32285 ;16697 ;15588 ;4719 ;2422 ;2297 ;16354 ;8403 ;7951 ;9542 ;4825 ;4717 ;3210 ;1732 ;1478 ;4660 ;2194 ;2466 ;1672 ;899 ;773 ;1670 ;1047 ;623 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Zentralschweiz;91151 ;46815 ;44336 ;10708 ;5687 ;5021 ;49323 ;24975 ;24348 ;27000 ;13553 ;13447 ;6828 ;3786 ;3042 ;18060 ;8653 ;9407 ;2112 ;1114 ;998 ;4120 ;2600 ;1520 ;
