Kanton;Year;Values
Aargau;1991;12.842822
Aargau;1992;12.618215
Aargau;1993;12.678329
Aargau;1994;12.356507
Aargau;1995;13.291038
Aargau;1996;13.336529
Aargau;1997;13.218609
Aargau;1998;12.962288
Aargau;1999;12.964749
Aargau;2000;14.385246
Aargau;2001;13.528438
Aargau;2002;13.670864
Aargau;2003;13.958332
Aargau;2004;14.867244
Aargau;2005;15.136619
Aargau;2006;15.272013
Aargau;2007;15.449115
Aargau;2008;15.374217
Aargau;2009;14.858288
Aargau;2010;14.934512
Aargau;2011;15.707209
Aargau;2012;15.294459
Aargau;2013;15.446358
Aargau;2014;15.52409
Aargau;2015;15.699381
Aargau;2016;15.518206
Aargau;2017;15.635479
Aargau;2018;15.54994314
Aargau;2019;15.90227765
Aargau;2020;16.18385496
Aargau;2021;12.964749
Appenzell A. Rh.;1991;13.250536
Appenzell A. Rh.;1992;10.64731
Appenzell A. Rh.;1993;13.008148
Appenzell A. Rh.;1994;12.639555
Appenzell A. Rh.;1995;13.126311
Appenzell A. Rh.;1996;13.398673
Appenzell A. Rh.;1997;13.770233
Appenzell A. Rh.;1998;12.226512
Appenzell A. Rh.;1999;13.383615
Appenzell A. Rh.;2000;15.92202
Appenzell A. Rh.;2001;15.118052
Appenzell A. Rh.;2002;13.150596
Appenzell A. Rh.;2003;14.604393
Appenzell A. Rh.;2004;13.292961
Appenzell A. Rh.;2005;16.186083
Appenzell A. Rh.;2006;15.699577
Appenzell A. Rh.;2007;15.669648
Appenzell A. Rh.;2008;13.956967
Appenzell A. Rh.;2009;15.59372
Appenzell A. Rh.;2010;16.12499
Appenzell A. Rh.;2011;16.040178
Appenzell A. Rh.;2012;14.799338
Appenzell A. Rh.;2013;16.118789
Appenzell A. Rh.;2014;17.731359
Appenzell A. Rh.;2015;16.55255
Appenzell A. Rh.;2016;16.765225
Appenzell A. Rh.;2017;16.779497
Appenzell A. Rh.;2018;18.22891028
Appenzell A. Rh.;2019;15.57675758
Appenzell A. Rh.;2020;15.00298835
Appenzell A. Rh.;2021;13.383615
Appenzell I. Rh.;1991;13.107303
Appenzell I. Rh.;1992;15.514779
Appenzell I. Rh.;1993;12.548964
Appenzell I. Rh.;1994;10.768731
Appenzell I. Rh.;1995;11.651303
Appenzell I. Rh.;1996;7.11572
Appenzell I. Rh.;1997;12.860255
Appenzell I. Rh.;1998;10.509138
Appenzell I. Rh.;1999;15.699011
Appenzell I. Rh.;2000;18.055993
Appenzell I. Rh.;2001;12.565612
Appenzell I. Rh.;2002;15.636677
Appenzell I. Rh.;2003;8.380257
Appenzell I. Rh.;2004;16.2326
Appenzell I. Rh.;2005;15.806728
Appenzell I. Rh.;2006;13.733233
Appenzell I. Rh.;2007;15.695869
Appenzell I. Rh.;2008;25.615974
Appenzell I. Rh.;2009;19.669629
Appenzell I. Rh.;2010;16.592256
Appenzell I. Rh.;2011;16.386748
Appenzell I. Rh.;2012;17.811585
Appenzell I. Rh.;2013;16.88958
Appenzell I. Rh.;2014;22.657281
Appenzell I. Rh.;2015;21.124758
Appenzell I. Rh.;2016;16.845231
Appenzell I. Rh.;2017;11.783776
Appenzell I. Rh.;2018;13.53684371
Appenzell I. Rh.;2019;14.46771507
Appenzell I. Rh.;2020;18.14999306
Appenzell I. Rh.;2021;15.699011
Basel-Landschaft;1991;13.818086
Basel-Landschaft;1992;13.710714
Basel-Landschaft;1993;14.029161
Basel-Landschaft;1994;13.568729
Basel-Landschaft;1995;13.618897
Basel-Landschaft;1996;14.584586
Basel-Landschaft;1997;14.295679
Basel-Landschaft;1998;14.087082
Basel-Landschaft;1999;14.593581
Basel-Landschaft;2000;13.464131
Basel-Landschaft;2001;14.746922
Basel-Landschaft;2002;14.992123
Basel-Landschaft;2003;14.287505
Basel-Landschaft;2004;14.239763
Basel-Landschaft;2005;15.188713
Basel-Landschaft;2006;15.839744
Basel-Landschaft;2007;15.692118
Basel-Landschaft;2008;15.119909
Basel-Landschaft;2009;15.271556
Basel-Landschaft;2010;15.288702
Basel-Landschaft;2011;15.152458
Basel-Landschaft;2012;15.369008
Basel-Landschaft;2013;15.633297
Basel-Landschaft;2014;15.114972
Basel-Landschaft;2015;15.4806
Basel-Landschaft;2016;15.022746
Basel-Landschaft;2017;15.324344
Basel-Landschaft;2018;14.94258909
Basel-Landschaft;2019;14.69864353
Basel-Landschaft;2020;15.40338515
Basel-Landschaft;2021;14.593581
Basel-Stadt;1991;10.6908
Basel-Stadt;1992;10.820124
Basel-Stadt;1993;10.829019
Basel-Stadt;1994;10.285217
Basel-Stadt;1995;10.616913
Basel-Stadt;1996;10.372019
Basel-Stadt;1997;11.381454
Basel-Stadt;1998;10.889192
Basel-Stadt;1999;11.950606
Basel-Stadt;2000;10.768918
Basel-Stadt;2001;11.722946
Basel-Stadt;2002;12.213583
Basel-Stadt;2003;12.250921
Basel-Stadt;2004;12.190109
Basel-Stadt;2005;12.263955
Basel-Stadt;2006;12.623631
Basel-Stadt;2007;12.501597
Basel-Stadt;2008;12.533013
Basel-Stadt;2009;12.719219
Basel-Stadt;2010;12.017137
Basel-Stadt;2011;11.795022
Basel-Stadt;2012;12.814292
Basel-Stadt;2013;12.573156
Basel-Stadt;2014;13.019644
Basel-Stadt;2015;12.940223
Basel-Stadt;2016;13.459404
Basel-Stadt;2017;13.646416
Basel-Stadt;2018;13.03521667
Basel-Stadt;2019;13.252449
