Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2008/09;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Vorschule/Eingangsstufe;;; Primarstufe;;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Im Ganzen;;; Grundansprüche;;; Erweiterte Ansprüche ;;; Ohne Niveauunterscheidung;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Total;914453 ;470324 ;444129 ;142965 ;73526 ;69439 ;440885 ;224282 ;216603 ;288979 ;146127 ;142852 ;75946 ;41819 ;34127 ;171510 ;83009 ;88501 ;41523 ;21299 ;20224 ;41624 ;26389 ;15235 
;;;;;;;;;;;;;;;;;;;;;;;;
Genferseeregion;179461 ;92110 ;87351 ;29129 ;14859 ;14270 ;80017 ;40641 ;39376 ;63507 ;32188 ;31319 ;10541 ;5867 ;4674 ;29390 ;14347 ;15043 ;23576 ;11974 ;11602 ;6808 ;4422 ;2386 
Waadt;86203 ;44272 ;41931 ;14108 ;7264 ;6844 ;30164 ;15216 ;14948 ;37637 ;18987 ;18650 ;6500 ;3618 ;2882 ;16096 ;7785 ;8311 ;15041 ;7584 ;7457 ;4294 ;2805 ;1489 
Wallis;36609 ;18836 ;17773 ;5732 ;3004 ;2728 ;19652 ;10004 ;9648 ;10675 ;5465 ;5210 ;1278 ;690 ;588 ;2841 ;1382 ;1459 ;6556 ;3393 ;3163 ;550 ;363 ;187 
Genf;56649 ;29002 ;27647 ;9289 ;4591 ;4698 ;30201 ;15421 ;14780 ;15195 ;7736 ;7459 ;2763 ;1559 ;1204 ;10453 ;5180 ;5273 ;1979 ;997 ;982 ;1964 ;1254 ;710 
;;;;;;;;;;;;;;;;;;;;;;;;
Espace Mittelland;202760 ;104058 ;98702 ;28453 ;14669 ;13784 ;103910 ;52663 ;51247 ;60417 ;30366 ;30051 ;18069 ;10023 ;8046 ;39921 ;19084 ;20837 ;2427 ;1259 ;1168 ;9980 ;6360 ;3620 
Bern;107376 ;55061 ;52315 ;15576 ;8007 ;7569 ;55192 ;27882 ;27310 ;30923 ;15520 ;15403 ;11936 ;6627 ;5309 ;18410 ;8568 ;9842 ;577 ;325 ;252 ;5685 ;3652 ;2033 
Freiburg;35250 ;17959 ;17291 ;3613 ;1828 ;1785 ;19747 ;10056 ;9691 ;10718 ;5348 ;5370 ;2298 ;1276 ;1022 ;8420 ;4072 ;4348 ;- ;- ;- ;1172 ;727 ;445 
Solothurn;29284 ;15091 ;14193 ;4546 ;2379 ;2167 ;14403 ;7298 ;7105 ;8430 ;4221 ;4209 ;1197 ;652 ;545 ;7145 ;3524 ;3621 ;88 ;45 ;43 ;1905 ;1193 ;712 
Neuenburg;21415 ;11036 ;10379 ;3279 ;1707 ;1572 ;9507 ;4855 ;4652 ;7765 ;3933 ;3832 ;1900 ;1047 ;853 ;4103 ;1997 ;2106 ;1762 ;889 ;873 ;864 ;541 ;323 
Jura;9435 ;4911 ;4524 ;1439 ;748 ;691 ;5061 ;2572 ;2489 ;2581 ;1344 ;1237 ;738 ;421 ;317 ;1843 ;923 ;920 ;- ;- ;- ;354 ;247 ;107 
;;;;;;;;;;;;;;;;;;;;;;;;
Nordwestschweiz;121563 ;62799 ;58764 ;19634 ;10274 ;9360 ;47937 ;24441 ;23496 ;46386 ;23427 ;22959 ;10031 ;5434 ;4597 ;32850 ;16173 ;16677 ;3505 ;1820 ;1685 ;7606 ;4657 ;2949 
Basel-Stadt;17151 ;8965 ;8186 ;3000 ;1580 ;1420 ;5392 ;2753 ;2639 ;7796 ;4002 ;3794 ;723 ;375 ;348 ;4001 ;2006 ;1995 ;3072 ;1621 ;1451 ;963 ;630 ;333 
Basel-Landschaft;30775 ;15816 ;14959 ;4791 ;2494 ;2297 ;12462 ;6301 ;6161 ;11193 ;5573 ;5620 ;3000 ;1626 ;1374 ;7863 ;3797 ;4066 ;330 ;150 ;180 ;2329 ;1448 ;881 
Aargau;73637 ;38018 ;35619 ;11843 ;6200 ;5643 ;30083 ;15387 ;14696 ;27397 ;13852 ;13545 ;6308 ;3433 ;2875 ;20986 ;10370 ;10616 ;103 ;49 ;54 ;4314 ;2579 ;1735 
;;;;;;;;;;;;;;;;;;;;;;;;
Zürich;145189 ;74681 ;70508 ;25113 ;12857 ;12256 ;75392 ;38352 ;37040 ;38884 ;19728 ;19156 ;14900 ;8176 ;6724 ;23713 ;11430 ;12283 ;271 ;122 ;149 ;5800 ;3744 ;2056 
;;;;;;;;;;;;;;;;;;;;;;;;
Ostschweiz;137941 ;71019 ;66922 ;21687 ;11037 ;10650 ;69546 ;35499 ;34047 ;39768 ;20115 ;19653 ;13621 ;7452 ;6169 ;23769 ;11408 ;12361 ;2378 ;1255 ;1123 ;6940 ;4368 ;2572 
Glarus;4668 ;2415 ;2253 ;698 ;358 ;340 ;2337 ;1220 ;1117 ;1401 ;700 ;701 ;632 ;353 ;279 ;769 ;347 ;422 ;- ;- ;- ;232 ;137 ;95 
Schaffhausen;8770 ;4537 ;4233 ;1394 ;720 ;674 ;4349 ;2255 ;2094 ;2551 ;1281 ;1270 ;929 ;497 ;432 ;1523 ;732 ;791 ;99 ;52 ;47 ;476 ;281 ;195 
Appenzell A. Rh.;6915 ;3669 ;3246 ;957 ;480 ;477 ;3707 ;1927 ;1780 ;2039 ;1112 ;927 ;590 ;358 ;232 ;1157 ;576 ;581 ;292 ;178 ;114 ;212 ;150 ;62 
Appenzell I. Rh.;2336 ;1208 ;1128 ;334 ;162 ;172 ;1160 ;610 ;550 ;775 ;394 ;381 ;194 ;102 ;92 ;486 ;243 ;243 ;95 ;49 ;46 ;67 ;42 ;25 
St. Gallen;61770 ;31541 ;30229 ;9857 ;4987 ;4870 ;30670 ;15423 ;15247 ;17485 ;8767 ;8718 ;6226 ;3304 ;2922 ;11096 ;5415 ;5681 ;163 ;48 ;115 ;3758 ;2364 ;1394 
Graubünden;21703 ;11195 ;10508 ;3430 ;1758 ;1672 ;11500 ;5913 ;5587 ;6153 ;3125 ;3028 ;1878 ;1099 ;779 ;4275 ;2026 ;2249 ;- ;- ;- ;620 ;399 ;221 
Thurgau;31779 ;16454 ;15325 ;5017 ;2572 ;2445 ;15823 ;8151 ;7672 ;9364 ;4736 ;4628 ;3172 ;1739 ;1433 ;4463 ;2069 ;2394 ;1729 ;928 ;801 ;1575 ;995 ;580 
;;;;;;;;;;;;;;;;;;;;;;;;
Zentralschweiz;89811 ;46210 ;43601 ;10739 ;5626 ;5113 ;48294 ;24578 ;23716 ;26987 ;13610 ;13377 ;6828 ;3743 ;3085 ;18254 ;8819 ;9435 ;1905 ;1048 ;857 ;3791 ;2396 ;1395 
