Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2012/13;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Vorschule/Eingangsstufe;;; Primarstufe;;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Im Ganzen;;; Grundansprüche;;; Erweiterte Ansprüche ;;; Ohne Niveauunterscheidung;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Total;908743 ;467365 ;441378 ;154533 ;79460 ;75073 ;435454 ;221973 ;213481 ;283741 ;143624 ;140117 ;71840 ;39869 ;31971 ;166288 ;80308 ;85980 ;45613 ;23447 ;22166 ;35015 ;22308 ;12707 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Genferseeregion;184605 ;94646 ;89959 ;31105 ;15901 ;15204 ;80593 ;41172 ;39421 ;66042 ;33193 ;32849 ;10791 ;5981 ;4810 ;25913 ;12346 ;13567 ;29338 ;14866 ;14472 ;6865 ;4380 ;2485 ;
Waadt;92073 ;47252 ;44821 ;15774 ;8054 ;7720 ;31657 ;16192 ;15465 ;40284 ;20246 ;20038 ;6667 ;3659 ;3008 ;16137 ;7718 ;8419 ;17480 ;8869 ;8611 ;4358 ;2760 ;1598 ;
Wallis;36386 ;18742 ;17644 ;6177 ;3229 ;2948 ;19149 ;9912 ;9237 ;10571 ;5305 ;5266 ;128 ;65 ;63 ;1099 ;492 ;607 ;9344 ;4748 ;4596 ;489 ;296 ;193 ;
Genf;56146 ;28652 ;27494 ;9154 ;4618 ;4536 ;29787 ;15068 ;14719 ;15187 ;7642 ;7545 ;3996 ;2257 ;1739 ;8677 ;4136 ;4541 ;2514 ;1249 ;1265 ;2018 ;1324 ;694 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Espace Mittelland;200160 ;102748 ;97412 ;32794 ;16767 ;16027 ;102787 ;52325 ;50462 ;56259 ;28379 ;27880 ;17343 ;9565 ;7778 ;38097 ;18368 ;19729 ;819 ;446 ;373 ;8320 ;5277 ;3043 ;
Bern;103958 ;53390 ;50568 ;17302 ;8853 ;8449 ;52601 ;26682 ;25919 ;29187 ;14756 ;14431 ;10784 ;5956 ;4828 ;17815 ;8467 ;9348 ;588 ;333 ;255 ;4868 ;3099 ;1769 ;
Freiburg;38223 ;19552 ;18671 ;5946 ;3011 ;2935 ;20162 ;10264 ;9898 ;10877 ;5488 ;5389 ;2419 ;1362 ;1057 ;8458 ;4126 ;4332 ;- ;- ;- ;1238 ;789 ;449 ;
Solothurn;27989 ;14410 ;13579 ;4773 ;2424 ;2349 ;14242 ;7331 ;6911 ;7855 ;3954 ;3901 ;1955 ;1008 ;947 ;5725 ;2862 ;2863 ;175 ;84 ;91 ;1119 ;701 ;418 ;
Neuenburg;21165 ;10927 ;10238 ;3437 ;1787 ;1650 ;11124 ;5690 ;5434 ;5746 ;2916 ;2830 ;1580 ;892 ;688 ;4110 ;1995 ;2115 ;56 ;29 ;27 ;858 ;534 ;324 ;
Jura;8825 ;4469 ;4356 ;1336 ;692 ;644 ;4658 ;2358 ;2300 ;2594 ;1265 ;1329 ;605 ;347 ;258 ;1989 ;918 ;1071 ;- ;- ;- ;237 ;154 ;83 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Nordwestschweiz;120180 ;62164 ;58016 ;20725 ;10678 ;10047 ;47712 ;24405 ;23307 ;45653 ;23298 ;22355 ;9394 ;5138 ;4256 ;32826 ;16317 ;16509 ;3433 ;1843 ;1590 ;6090 ;3783 ;2307 ;
Basel-Stadt;17177 ;8999 ;8178 ;3304 ;1707 ;1597 ;5784 ;2973 ;2811 ;7522 ;3947 ;3575 ;703 ;384 ;319 ;4257 ;2171 ;2086 ;2562 ;1392 ;1170 ;567 ;372 ;195 ;
Basel-Landschaft;30934 ;15907 ;15027 ;5167 ;2641 ;2526 ;12252 ;6192 ;6060 ;11386 ;5733 ;5653 ;2805 ;1541 ;1264 ;7839 ;3812 ;4027 ;742 ;380 ;362 ;2129 ;1341 ;788 ;
Aargau;72069 ;37258 ;34811 ;12254 ;6330 ;5924 ;29676 ;15240 ;14436 ;26745 ;13618 ;13127 ;5886 ;3213 ;2673 ;20730 ;10334 ;10396 ;129 ;71 ;58 ;3394 ;2070 ;1324 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Zürich;150653 ;77538 ;73115 ;27780 ;14389 ;13391 ;78518 ;39861 ;38657 ;39808 ;20277 ;19531 ;13569 ;7638 ;5931 ;25015 ;12003 ;13012 ;1224 ;636 ;588 ;4547 ;3011 ;1536 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Ostschweiz;128949 ;66262 ;62687 ;21311 ;10988 ;10323 ;64675 ;32784 ;31891 ;36860 ;18628 ;18232 ;12346 ;6854 ;5492 ;22822 ;10840 ;11982 ;1692 ;934 ;758 ;6103 ;3862 ;2241 ;
Glarus;4390 ;2291 ;2099 ;770 ;416 ;354 ;2167 ;1086 ;1081 ;1262 ;672 ;590 ;544 ;321 ;223 ;718 ;351 ;367 ;- ;- ;- ;191 ;117 ;74 ;
Schaffhausen;8219 ;4306 ;3913 ;1389 ;736 ;653 ;4014 ;2068 ;1946 ;2339 ;1206 ;1133 ;816 ;446 ;370 ;1436 ;705 ;731 ;87 ;55 ;32 ;477 ;296 ;181 ;
Appenzell A. Rh.;6123 ;3223 ;2900 ;997 ;530 ;467 ;3049 ;1563 ;1486 ;1864 ;980 ;884 ;642 ;385 ;257 ;1211 ;588 ;623 ;11 ;7 ;4 ;213 ;150 ;63 ;
Appenzell I. Rh.;2008 ;1042 ;966 ;308 ;151 ;157 ;976 ;496 ;480 ;652 ;343 ;309 ;168 ;100 ;68 ;484 ;243 ;241 ;- ;- ;- ;72 ;52 ;20 ;
St. Gallen;57994 ;29526 ;28468 ;9653 ;5001 ;4652 ;28945 ;14557 ;14388 ;16215 ;7994 ;8221 ;5413 ;2918 ;2495 ;10299 ;4846 ;5453 ;503 ;230 ;273 ;3181 ;1974 ;1207 ;
Graubünden;19958 ;10232 ;9726 ;3212 ;1590 ;1622 ;10274 ;5258 ;5016 ;5926 ;3020 ;2906 ;1858 ;1058 ;800 ;4028 ;1932 ;2096 ;40 ;30 ;10 ;546 ;364 ;182 ;
Thurgau;30257 ;15642 ;14615 ;4982 ;2564 ;2418 ;15250 ;7756 ;7494 ;8602 ;4413 ;4189 ;2905 ;1626 ;1279 ;4646 ;2175 ;2471 ;1051 ;612 ;439 ;1423 ;909 ;514 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Zentralschweiz;86250 ;44516 ;41734 ;12329 ;6424 ;5905 ;45575 ;23405 ;22170 ;25873 ;13068 ;12805 ;6472 ;3629 ;2843 ;17810 ;8561 ;9249 ;1591 ;878 ;713 ;2473 ;1619 ;854 ;
