Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2017/18;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Primarstufe 1-2 (1)(3);;; Primarstufe 3-8 (2)(3);;; Sekundarstufe I ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Im Ganzen;;; Grundansprüche;;; Erweiterte Ansprüche ;;; Ohne Niveauunterscheidung (3);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;944673 ;486108 ;458565 ;173959 ;90203 ;83756 ;511337 ;262927 ;248410 ;259377 ;132978 ;126399 ;69968 ;39663 ;30305 ;156735 ;74876 ;81859 ;32674 ;18439 ;14235 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Genferseeregion;193590 ;99481 ;94109 ;34140 ;17661 ;16479 ;105344 ;54124 ;51220 ;54106 ;27696 ;26410 ;13817 ;7986 ;5831 ;32705 ;15535 ;17170 ;7584 ;4175 ;3409 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Waadt;97293 ;50071 ;47222 ;17013 ;8736 ;8277 ;53230 ;27397 ;25833 ;27050 ;13938 ;13112 ;5974 ;3517 ;2457 ;16836 ;8051 ;8785 ;4240 ;2370 ;1870 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wallis;37464 ;19221 ;18243 ;6580 ;3383 ;3197 ;20436 ;10485 ;9951 ;10448 ;5353 ;5095 ;3738 ;2114 ;1624 ;6353 ;3014 ;3339 ;357 ;225 ;132 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Genf;58833 ;30189 ;28644 ;10547 ;5542 ;5005 ;31678 ;16242 ;15436 ;16608 ;8405 ;8203 ;4105 ;2355 ;1750 ;9516 ;4470 ;5046 ;2987 ;1580 ;1407 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espace Mittelland;207059 ;106228 ;100831 ;36983 ;19114 ;17869 ;113771 ;58425 ;55346 ;56305 ;28689 ;27616 ;16802 ;9398 ;7404 ;35550 ;16855 ;18695 ;3953 ;2436 ;1517 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bern;109459 ;55977 ;53482 ;19923 ;10211 ;9712 ;60549 ;31029 ;29520 ;28987 ;14737 ;14250 ;9908 ;5523 ;4385 ;17287 ;8140 ;9147 ;1792 ;1074 ;718 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Freiburg;40143 ;20563 ;19580 ;6888 ;3629 ;3259 ;21862 ;11184 ;10678 ;11393 ;5750 ;5643 ;2209 ;1260 ;949 ;8512 ;4067 ;4445 ;672 ;423 ;249 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Solothurn;28120 ;14551 ;13569 ;5150 ;2653 ;2497 ;15408 ;7956 ;7452 ;7562 ;3942 ;3620 ;2459 ;1374 ;1085 ;4582 ;2227 ;2355 ;521 ;341 ;180 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Neuenburg;20783 ;10713 ;10070 ;3550 ;1846 ;1704 ;11273 ;5808 ;5465 ;5960 ;3059 ;2901 ;1666 ;908 ;758 ;3439 ;1622 ;1817 ;855 ;529 ;326 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jura;8554 ;4424 ;4130 ;1472 ;775 ;697 ;4679 ;2448 ;2231 ;2403 ;1201 ;1202 ;560 ;333 ;227 ;1730 ;799 ;931 ;113 ;69 ;44 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nordwestschweiz;127451 ;65864 ;61587 ;23454 ;12235 ;11219 ;69966 ;35962 ;34004 ;34031 ;17667 ;16364 ;7463 ;4253 ;3210 ;24010 ;11911 ;12099 ;2558 ;1503 ;1055 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Basel-Stadt;18549 ;9572 ;8977 ;3676 ;1909 ;1767 ;10151 ;5155 ;4996 ;4722 ;2508 ;2214 ;887 ;502 ;385 ;3445 ;1769 ;1676 ;390 ;237 ;153 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
