Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2019/20;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Primarstufe 1-2 (1)(3);;; Primarstufe 3-8 (2)(3);;; Sekundarstufe I ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Im Ganzen;;; Grundansprüche;;; Erweiterte Ansprüche ;;; Ohne Niveauunterscheidung (3);;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;966012 ;497023 ;468989 ;179107 ;92481 ;86626 ;524624 ;270094 ;254530 ;262281 ;134448 ;127833 ;69801 ;39740 ;30061 ;160262 ;76526 ;83736 ;32218 ;18182 ;14036 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Genferseeregion;198187 ;101806 ;96381 ;35293 ;18106 ;17187 ;107584 ;55332 ;52252 ;55310 ;28368 ;26942 ;14376 ;8360 ;6016 ;33880 ;16117 ;17763 ;7054 ;3891 ;3163 ;;;;;;;;;;;;;;;;;;;;;;;;;
Waadt;99570 ;51266 ;48304 ;17499 ;8991 ;8508 ;54071 ;27812 ;26259 ;28000 ;14463 ;13537 ;6630 ;3940 ;2690 ;17741 ;8488 ;9253 ;3629 ;2035 ;1594 ;;;;;;;;;;;;;;;;;;;;;;;;;
Wallis;38012 ;19434 ;18578 ;6827 ;3497 ;3330 ;20490 ;10495 ;9995 ;10695 ;5442 ;5253 ;3704 ;2083 ;1621 ;6623 ;3114 ;3509 ;368 ;245 ;123 ;;;;;;;;;;;;;;;;;;;;;;;;;
Genf;60605 ;31106 ;29499 ;10967 ;5618 ;5349 ;33023 ;17025 ;15998 ;16615 ;8463 ;8152 ;4042 ;2337 ;1705 ;9516 ;4515 ;5001 ;3057 ;1611 ;1446 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espace Mittelland;209940 ;107889 ;102051 ;37715 ;19499 ;18216 ;115586 ;59343 ;56243 ;56639 ;29047 ;27592 ;16808 ;9521 ;7287 ;35951 ;17081 ;18870 ;3880 ;2445 ;1435 ;;;;;;;;;;;;;;;;;;;;;;;;;
Bern;111722 ;57152 ;54570 ;20209 ;10410 ;9799 ;62040 ;31748 ;30292 ;29473 ;14994 ;14479 ;9977 ;5605 ;4372 ;17689 ;8298 ;9391 ;1807 ;1091 ;716 ;;;;;;;;;;;;;;;;;;;;;;;;;
Freiburg;40492 ;20914 ;19578 ;7224 ;3788 ;3436 ;21928 ;11303 ;10625 ;11340 ;5823 ;5517 ;2238 ;1290 ;948 ;8507 ;4139 ;4368 ;595 ;394 ;201 ;;;;;;;;;;;;;;;;;;;;;;;;;
Solothurn;28554 ;14738 ;13816 ;5261 ;2701 ;2560 ;15828 ;8152 ;7676 ;7465 ;3885 ;3580 ;2362 ;1352 ;1010 ;4634 ;2218 ;2416 ;469 ;315 ;154 ;;;;;;;;;;;;;;;;;;;;;;;;;
Neuenburg;20698 ;10670 ;10028 ;3611 ;1863 ;1748 ;11104 ;5713 ;5391 ;5983 ;3094 ;2889 ;1701 ;954 ;747 ;3422 ;1599 ;1823 ;860 ;541 ;319 ;;;;;;;;;;;;;;;;;;;;;;;;;
Jura;8474 ;4415 ;4059 ;1410 ;737 ;673 ;4686 ;2427 ;2259 ;2378 ;1251 ;1127 ;530 ;320 ;210 ;1699 ;827 ;872 ;149 ;104 ;45 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nordwestschweiz;130766 ;67510 ;63256 ;23709 ;12416 ;11293 ;72453 ;37312 ;35141 ;34604 ;17782 ;16822 ;7536 ;4316 ;3220 ;24481 ;11924 ;12557 ;2587 ;1542 ;1045 ;;;;;;;;;;;;;;;;;;;;;;;;;
Basel-Stadt;19223 ;9922 ;9301 ;3783 ;1994 ;1789 ;10659 ;5455 ;5204 ;4781 ;2473 ;2308 ;1023 ;601 ;422 ;3357 ;1647 ;1710 ;401 ;225 ;176 ;;;;;;;;;;;;;;;;;;;;;;;;;
Basel-Landschaft;32361 ;16676 ;15685 ;5504 ;2834 ;2670 ;17894 ;9246 ;8648 ;8963 ;4596 ;4367 ;1929 ;1119 ;810 ;5913 ;2838 ;3075 ;1121 ;639 ;482 ;;;;;;;;;;;;;;;;;;;;;;;;;
Aargau;79182 ;40912 ;38270 ;14422 ;7588 ;6834 ;43900 ;22611 ;21289 ;20860 ;10713 ;10147 ;4584 ;2596 ;1988 ;15211 ;7439 ;7772 ;1065 ;678 ;387 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zürich;171466 ;88269 ;83197 ;34224 ;17739 ;16485 ;93900 ;48387 ;45513 ;43342 ;22143 ;21199 ;13311 ;7403 ;5908 ;27276 ;13060 ;14216 ;2755 ;1680 ;1075 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
