Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2002/03;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Vorschule/Eingangsstufe;;; Primarstufe;;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Im Ganzen;;; Grundansprüche;;; Erweiterte Ansprüche ;;; Ohne Niveauunterscheidung;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Total;955537 ;489863 ;465674 ;148419 ;76060 ;72359 ;469511 ;237835 ;231676 ;287686 ;144968 ;142718 ;77936 ;43498 ;34438 ;165540 ;78953 ;86587 ;44210 ;22517 ;21693 ;49921 ;31000 ;18921 
;;;;;;;;;;;;;;;;;;;;;;;;
Genferseeregion;179372 ;91884 ;87488 ;30273 ;15262 ;15011 ;80365 ;40978 ;39387 ;60885 ;30700 ;30185 ;9992 ;5635 ;4357 ;27267 ;13107 ;14160 ;23626 ;11958 ;11668 ;7849 ;4944 ;2905 
Waadt;86274 ;44151 ;42123 ;14677 ;7362 ;7315 ;29780 ;15098 ;14682 ;36658 ;18430 ;18228 ;6312 ;3578 ;2734 ;15370 ;7325 ;8045 ;14976 ;7527 ;7449 ;5159 ;3261 ;1898 
Wallis;38585 ;19673 ;18912 ;6287 ;3113 ;3174 ;21003 ;10755 ;10248 ;10606 ;5379 ;5227 ;1465 ;798 ;667 ;2925 ;1386 ;1539 ;6216 ;3195 ;3021 ;689 ;426 ;263 
Genf;54513 ;28060 ;26453 ;9309 ;4787 ;4522 ;29582 ;15125 ;14457 ;13621 ;6891 ;6730 ;2215 ;1259 ;956 ;8972 ;4396 ;4576 ;2434 ;1236 ;1198 ;2001 ;1257 ;744 
;;;;;;;;;;;;;;;;;;;;;;;;
Espace Mittelland;212959 ;109343 ;103616 ;27824 ;14312 ;13512 ;113820 ;57830 ;55990 ;60591 ;30502 ;30089 ;19573 ;10990 ;8583 ;38515 ;18253 ;20262 ;2503 ;1259 ;1244 ;10724 ;6699 ;4025 
Bern;114945 ;59038 ;55907 ;14788 ;7509 ;7279 ;62516 ;31646 ;30870 ;31734 ;16128 ;15606 ;13511 ;7538 ;5973 ;17737 ;8330 ;9407 ;486 ;260 ;226 ;5907 ;3755 ;2152 
Freiburg;34124 ;17469 ;16655 ;3613 ;1894 ;1719 ;19795 ;10115 ;9680 ;9494 ;4718 ;4776 ;2059 ;1193 ;866 ;7435 ;3525 ;3910 ;- ;- ;- ;1222 ;742 ;480 
Solothurn;32475 ;16635 ;15840 ;4980 ;2593 ;2387 ;16078 ;8124 ;7954 ;8933 ;4421 ;4512 ;1367 ;762 ;605 ;7337 ;3549 ;3788 ;229 ;110 ;119 ;2484 ;1497 ;987 
Neuenburg;21472 ;11011 ;10461 ;2749 ;1438 ;1311 ;10080 ;5138 ;4942 ;7832 ;3938 ;3894 ;1831 ;1045 ;786 ;4213 ;2004 ;2209 ;1788 ;889 ;899 ;811 ;497 ;314 
Jura;9943 ;5190 ;4753 ;1694 ;878 ;816 ;5351 ;2807 ;2544 ;2598 ;1297 ;1301 ;805 ;452 ;353 ;1793 ;845 ;948 ;- ;- ;- ;300 ;208 ;92 
;;;;;;;;;;;;;;;;;;;;;;;;
Nordwestschweiz;129986 ;66645 ;63341 ;21245 ;10974 ;10271 ;51830 ;26188 ;25642 ;47625 ;23870 ;23755 ;10351 ;5710 ;4641 ;31524 ;15231 ;16293 ;5750 ;2929 ;2821 ;9286 ;5613 ;3673 
Basel-Stadt;18620 ;9592 ;9028 ;3053 ;1585 ;1468 ;5911 ;2947 ;2964 ;8067 ;4067 ;4000 ;87 ;54 ;33 ;2738 ;1335 ;1403 ;5242 ;2678 ;2564 ;1589 ;993 ;596 
Basel-Landschaft;32860 ;16696 ;16164 ;5417 ;2756 ;2661 ;13387 ;6698 ;6689 ;11723 ;5836 ;5887 ;3417 ;1908 ;1509 ;7911 ;3735 ;4176 ;395 ;193 ;202 ;2333 ;1406 ;927 
Aargau;78506 ;40357 ;38149 ;12775 ;6633 ;6142 ;32532 ;16543 ;15989 ;27835 ;13967 ;13868 ;6847 ;3748 ;3099 ;20875 ;10161 ;10714 ;113 ;58 ;55 ;5364 ;3214 ;2150 
;;;;;;;;;;;;;;;;;;;;;;;;
Zürich;146413 ;75387 ;71026 ;25025 ;12871 ;12154 ;75218 ;38184 ;37034 ;38221 ;19250 ;18971 ;14963 ;8371 ;6592 ;22946 ;10738 ;12208 ;312 ;141 ;171 ;7949 ;5082 ;2867 
;;;;;;;;;;;;;;;;;;;;;;;;
Ostschweiz;153597 ;78842 ;74755 ;24111 ;12472 ;11639 ;79298 ;40095 ;39203 ;41496 ;20909 ;20587 ;14257 ;7825 ;6432 ;25246 ;12079 ;13167 ;1993 ;1005 ;988 ;8692 ;5366 ;3326 
Glarus;5540 ;2849 ;2691 ;923 ;473 ;450 ;2809 ;1449 ;1360 ;1536 ;758 ;778 ;721 ;364 ;357 ;815 ;394 ;421 ;- ;- ;- ;272 ;169 ;103 
Schaffhausen;10064 ;5111 ;4953 ;1588 ;805 ;783 ;4906 ;2475 ;2431 ;2849 ;1401 ;1448 ;1169 ;619 ;550 ;1610 ;749 ;861 ;70 ;33 ;37 ;721 ;430 ;291 
Appenzell A. Rh.;7936 ;4191 ;3745 ;1300 ;686 ;614 ;4320 ;2304 ;2016 ;2031 ;1017 ;1014 ;431 ;244 ;187 ;1600 ;773 ;827 ;- ;- ;- ;285 ;184 ;101 
Appenzell I. Rh.;2583 ;1389 ;1194 ;429 ;242 ;187 ;1354 ;690 ;664 ;733 ;413 ;320 ;235 ;155 ;80 ;498 ;258 ;240 ;- ;- ;- ;67 ;44 ;23 
St. Gallen;68659 ;35206 ;33453 ;10837 ;5572 ;5265 ;35132 ;17719 ;17413 ;18114 ;9114 ;9000 ;6322 ;3483 ;2839 ;11701 ;5586 ;6115 ;91 ;45 ;46 ;4576 ;2801 ;1775 
Graubünden;24214 ;12387 ;11827 ;3827 ;1961 ;1866 ;12684 ;6394 ;6290 ;6899 ;3524 ;3375 ;2090 ;1212 ;878 ;4809 ;2312 ;2497 ;- ;- ;- ;804 ;508 ;296 
Thurgau;34601 ;17709 ;16892 ;5207 ;2733 ;2474 ;18093 ;9064 ;9029 ;9334 ;4682 ;4652 ;3289 ;1748 ;1541 ;4213 ;2007 ;2206 ;1832 ;927 ;905 ;1967 ;1230 ;737 
;;;;;;;;;;;;;;;;;;;;;;;;
Zentralschweiz;96020 ;49013 ;47007 ;11773 ;6143 ;5630 ;52979 ;26650 ;26329 ;26432 ;13288 ;13144 ;7071 ;3932 ;3139 ;16874 ;8056 ;8818 ;2487 ;1300 ;1187 ;4836 ;2932 ;1904 
