Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2015/16;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Primarstufe 1-2 (1);;; Primarstufe 3-8 (2);;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Im Ganzen;;; Grundansprüche;;; Erweiterte Ansprüche ;;; Ohne Niveauunterscheidung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;928284 ;477819 ;450465 ;170576 ;87441 ;83135 ;477499 ;243238 ;234261 ;249041 ;126902 ;122139 ;71871 ;40554 ;31317 ;157420 ;75954 ;81466 ;19750 ;10394 ;9356 ;31168 ;20238 ;10930 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Genferseeregion;189977 ;97639 ;92338 ;33614 ;17129 ;16485 ;98757 ;50249 ;48508 ;51163 ;26129 ;25034 ;14202 ;8088 ;6114 ;32029 ;15444 ;16585 ;4932 ;2597 ;2335 ;6443 ;4132 ;2311 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Waadt;95348 ;49031 ;46317 ;16885 ;8629 ;8256 ;49480 ;25184 ;24296 ;25333 ;12857 ;12476 ;5814 ;3337 ;2477 ;16592 ;7994 ;8598 ;2927 ;1526 ;1401 ;3650 ;2361 ;1289 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wallis;36899 ;19025 ;17874 ;6516 ;3272 ;3244 ;19605 ;10128 ;9477 ;10259 ;5291 ;4968 ;3957 ;2203 ;1754 ;6302 ;3088 ;3214 ;- ;- ;- ;519 ;334 ;185 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Genf;57730 ;29583 ;28147 ;10213 ;5228 ;4985 ;29672 ;14937 ;14735 ;15571 ;7981 ;7590 ;4431 ;2548 ;1883 ;9135 ;4362 ;4773 ;2005 ;1071 ;934 ;2274 ;1437 ;837 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espace Mittelland;205696 ;105596 ;100100 ;37711 ;19267 ;18444 ;106857 ;54276 ;52581 ;54087 ;27463 ;26624 ;17094 ;9511 ;7583 ;36255 ;17538 ;18717 ;738 ;414 ;324 ;7041 ;4590 ;2451 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bern;107649 ;55220 ;52429 ;20366 ;10417 ;9949 ;55666 ;28172 ;27494 ;28171 ;14384 ;13787 ;10298 ;5748 ;4550 ;17252 ;8291 ;8961 ;621 ;345 ;276 ;3446 ;2247 ;1199 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Freiburg;40066 ;20494 ;19572 ;7130 ;3634 ;3496 ;20908 ;10585 ;10323 ;10616 ;5350 ;5266 ;2126 ;1192 ;934 ;8490 ;4158 ;4332 ;- ;- ;- ;1412 ;925 ;487 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Solothurn;28053 ;14493 ;13560 ;5100 ;2591 ;2509 ;14612 ;7501 ;7111 ;7270 ;3684 ;3586 ;2509 ;1347 ;1162 ;4694 ;2300 ;2394 ;67 ;37 ;30 ;1071 ;717 ;354 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Neuenburg;21156 ;10895 ;10261 ;3670 ;1883 ;1787 ;10973 ;5609 ;5364 ;5506 ;2776 ;2730 ;1546 ;867 ;679 ;3910 ;1877 ;2033 ;50 ;32 ;18 ;1007 ;627 ;380 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jura;8772 ;4494 ;4278 ;1445 ;742 ;703 ;4698 ;2409 ;2289 ;2524 ;1269 ;1255 ;615 ;357 ;258 ;1909 ;912 ;997 ;- ;- ;- ;105 ;74 ;31 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nordwestschweiz;124217 ;64136 ;60081 ;23132 ;11765 ;11367 ;62833 ;32028 ;30805 ;32522 ;16662 ;15860 ;7193 ;4027 ;3166 ;24397 ;12132 ;12265 ;932 ;503 ;429 ;5730 ;3681 ;2049 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Basel-Stadt;17953 ;9289 ;8664 ;3676 ;1818 ;1858 ;9391 ;4805 ;4586 ;4471 ;2371 ;2100 ;877 ;503 ;374 ;3314 ;1704 ;1610 ;280 ;164 ;116 ;415 ;295 ;120 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Basel-Landschaft;31250 ;16114 ;15136 ;5466 ;2807 ;2659 ;15632 ;7926 ;7706 ;8371 ;4236 ;4135 ;2136 ;1181 ;955 ;5643 ;2743 ;2900 ;592 ;312 ;280 ;1781 ;1145 ;636 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
