Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2016/17;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Primarstufe 1-2 (1);;; Primarstufe 3-8 (2);;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Im Ganzen;;; Grundansprüche;;; Erweiterte Ansprüche ;;; Ohne Niveauunterscheidung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;936604 ;482039 ;454565 ;170786 ;87694 ;83092 ;486812 ;247943 ;238869 ;247613 ;125920 ;121693 ;71450 ;40493 ;30957 ;155920 ;74803 ;81117 ;20243 ;10624 ;9619 ;31393 ;20482 ;10911 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Genferseeregion;191548 ;98390 ;93158 ;33019 ;16857 ;16162 ;100595 ;51296 ;49299 ;51278 ;25961 ;25317 ;14314 ;8186 ;6128 ;32021 ;15252 ;16769 ;4943 ;2523 ;2420 ;6656 ;4276 ;2380 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Waadt;96298 ;49544 ;46754 ;16483 ;8417 ;8066 ;50546 ;25736 ;24810 ;25569 ;12962 ;12607 ;6173 ;3599 ;2574 ;16516 ;7883 ;8633 ;2880 ;1480 ;1400 ;3700 ;2429 ;1271 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wallis;37195 ;19075 ;18120 ;6418 ;3235 ;3183 ;20235 ;10392 ;9843 ;10017 ;5111 ;4906 ;3793 ;2096 ;1697 ;6196 ;3002 ;3194 ;28 ;13 ;15 ;525 ;337 ;188 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Genf;58055 ;29771 ;28284 ;10118 ;5205 ;4913 ;29814 ;15168 ;14646 ;15692 ;7888 ;7804 ;4348 ;2491 ;1857 ;9309 ;4367 ;4942 ;2035 ;1030 ;1005 ;2431 ;1510 ;921 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espace Mittelland;206380 ;105863 ;100517 ;37070 ;18861 ;18209 ;108742 ;55292 ;53450 ;53512 ;27112 ;26400 ;17091 ;9581 ;7510 ;35690 ;17137 ;18553 ;731 ;394 ;337 ;7056 ;4598 ;2458 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bern;108354 ;55431 ;52923 ;19919 ;10119 ;9800 ;57278 ;28969 ;28309 ;27711 ;14111 ;13600 ;10057 ;5660 ;4397 ;17070 ;8142 ;8928 ;584 ;309 ;275 ;3446 ;2232 ;1214 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Freiburg;40239 ;20601 ;19638 ;7008 ;3588 ;3420 ;21095 ;10756 ;10339 ;10783 ;5370 ;5413 ;2209 ;1234 ;975 ;8574 ;4136 ;4438 ;- ;- ;- ;1353 ;887 ;466 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Solothurn;28050 ;14531 ;13519 ;5056 ;2546 ;2510 ;14733 ;7546 ;7187 ;7224 ;3726 ;3498 ;2596 ;1438 ;1158 ;4546 ;2244 ;2302 ;82 ;44 ;38 ;1037 ;713 ;324 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Neuenburg;21098 ;10848 ;10250 ;3660 ;1872 ;1788 ;10950 ;5603 ;5347 ;5371 ;2682 ;2689 ;1643 ;898 ;745 ;3663 ;1743 ;1920 ;65 ;41 ;24 ;1117 ;691 ;426 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jura;8639 ;4452 ;4187 ;1427 ;736 ;691 ;4686 ;2418 ;2268 ;2423 ;1223 ;1200 ;586 ;351 ;235 ;1837 ;872 ;965 ;- ;- ;- ;103 ;75 ;28 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nordwestschweiz;126100 ;65200 ;60900 ;23211 ;11940 ;11271 ;64985 ;33060 ;31925 ;32349 ;16642 ;15707 ;7332 ;4189 ;3143 ;24070 ;11949 ;12121 ;947 ;504 ;443 ;5555 ;3558 ;1997 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Basel-Stadt;18109 ;9370 ;8739 ;3690 ;1878 ;1812 ;9538 ;4814 ;4724 ;4479 ;2392 ;2087 ;900 ;529 ;371 ;3341 ;1723 ;1618 ;238 ;140 ;98 ;402 ;286 ;116 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Basel-Landschaft;31667 ;16369 ;15298 ;5453 ;2801 ;2652 ;16141 ;8208 ;7933 ;8316 ;4222 ;4094 ;2013 ;1136 ;877 ;5674 ;2767 ;2907 ;629 ;319 ;310 ;1757 ;1138 ;619 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
