Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2020/21;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Primarstufe 1-2 (1)(3);;; Primarstufe 3-8 (2)(3);;; Sekundarstufe I ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Im Ganzen;;; Grundansprüche;;; Erweiterte Ansprüche ;;; Ohne Niveauunterscheidung (3);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;976105 ;502488 ;473617 ;181082 ;93325 ;87757 ;530230 ;272776 ;257454 ;264793 ;136387 ;128406 ;68264 ;38846 ;29418 ;164558 ;79434 ;85124 ;31971 ;18107 ;13864 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Genferseeregion;199306 ;102406 ;96900 ;35215 ;17859 ;17356 ;108600 ;55805 ;52795 ;55491 ;28742 ;26749 ;13535 ;7822 ;5713 ;35272 ;17122 ;18150 ;6684 ;3798 ;2886 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Waadt;99934 ;51429 ;48505 ;17516 ;8886 ;8630 ;54078 ;27789 ;26289 ;28340 ;14754 ;13586 ;6281 ;3689 ;2592 ;18692 ;9110 ;9582 ;3367 ;1955 ;1412 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wallis;38346 ;19623 ;18723 ;6847 ;3455 ;3392 ;20797 ;10658 ;10139 ;10702 ;5510 ;5192 ;3599 ;2037 ;1562 ;6779 ;3261 ;3518 ;324 ;212 ;112 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Genf;61026 ;31354 ;29672 ;10852 ;5518 ;5334 ;33725 ;17358 ;16367 ;16449 ;8478 ;7971 ;3655 ;2096 ;1559 ;9801 ;4751 ;5050 ;2993 ;1631 ;1362 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espace Mittelland;211612 ;108812 ;102800 ;38478 ;19825 ;18653 ;115868 ;59604 ;56264 ;57266 ;29383 ;27883 ;16351 ;9303 ;7048 ;37104 ;17726 ;19378 ;3811 ;2354 ;1457 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bern;112879 ;57875 ;55004 ;20648 ;10671 ;9977 ;62295 ;31895 ;30400 ;29936 ;15309 ;14627 ;9751 ;5535 ;4216 ;18307 ;8635 ;9672 ;1878 ;1139 ;739 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Freiburg;40699 ;21028 ;19671 ;7346 ;3839 ;3507 ;21834 ;11295 ;10539 ;11519 ;5894 ;5625 ;2167 ;1267 ;900 ;8785 ;4278 ;4507 ;567 ;349 ;218 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Solothurn;29018 ;14940 ;14078 ;5428 ;2712 ;2716 ;16040 ;8324 ;7716 ;7550 ;3904 ;3646 ;2385 ;1351 ;1034 ;4712 ;2260 ;2452 ;453 ;293 ;160 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Neuenburg;20523 ;10547 ;9976 ;3570 ;1839 ;1731 ;11057 ;5663 ;5394 ;5896 ;3045 ;2851 ;1550 ;851 ;699 ;3572 ;1717 ;1855 ;774 ;477 ;297 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jura;8493 ;4422 ;4071 ;1486 ;764 ;722 ;4642 ;2427 ;2215 ;2365 ;1231 ;1134 ;498 ;299 ;199 ;1728 ;836 ;892 ;139 ;96 ;43 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nordwestschweiz;132487 ;68331 ;64156 ;24172 ;12538 ;11634 ;73110 ;37692 ;35418 ;35205 ;18101 ;17104 ;7597 ;4366 ;3231 ;25043 ;12201 ;12842 ;2565 ;1534 ;1031 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Basel-Stadt;19467 ;10017 ;9450 ;3900 ;2005 ;1895 ;10671 ;5466 ;5205 ;4896 ;2546 ;2350 ;1053 ;628 ;425 ;3454 ;1697 ;1757 ;389 ;221 ;168 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Basel-Landschaft;32612 ;16823 ;15789 ;5458 ;2834 ;2624 ;17873 ;9263 ;8610 ;9281 ;4726 ;4555 ;1937 ;1115 ;822 ;6194 ;2952 ;3242 ;1150 ;659 ;491 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
