BFS_NR;GEBIET_NAME;THEMA_NAME;SET_NAME;SUBSET_NAME;INDIKATOR_ID;INDIKATOR_NAME;INDIKATOR_JAHR;INDIKATOR_VALUE;EINHEIT_KURZ;EINHEIT_LANG;
1;Aeugst a.A.;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2011;462;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2012;449;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2013;423;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2014;419;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2015;427;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2016;460;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2017;431;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2018;442;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2019;484;Anz.;Anzahl;
1;Aeugst a.A.;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2020;457;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2011;5912;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2012;5934;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2013;6068;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2014;6329;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2015;6312;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2016;6519;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2017;6586;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2018;6758;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2019;6994;Anz.;Anzahl;
2;Affoltern a.A.;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2020;6969;Anz.;Anzahl;
3;Bonstetten;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2011;895;Anz.;Anzahl;
3;Bonstetten;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2012;950;Anz.;Anzahl;
3;Bonstetten;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2013;938;Anz.;Anzahl;
3;Bonstetten;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2014;975;Anz.;Anzahl;
3;Bonstetten;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2015;985;Anz.;Anzahl;
3;Bonstetten;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2016;1017;Anz.;Anzahl;
3;Bonstetten;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2017;995;Anz.;Anzahl;
3;Bonstetten;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2018;1015;Anz.;Anzahl;
3;Bonstetten;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2019;1028;Anz.;Anzahl;
3;Bonstetten;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2020;1036;Anz.;Anzahl;
4;Hausen a.A.;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2011;959;Anz.;Anzahl;
4;Hausen a.A.;Arbeit und Unternehmen;Betriebe, Beschäftigte (Sektoren 1, 2 und 3);Beschäftigung / Vollzeitäquivalente;595;Total Beschäftigte [Anz.];2012;897;Anz.;Anzahl;
