Place,Year,Population,Divorces,Divorces p1k
Aeugst a.A.,1990,1200,4.0,3.3333333333333335
Aeugst a.A.,1991,1237,3.0,2.425222312045271
Aeugst a.A.,1992,1292,2.0,1.5479876160990713
Aeugst a.A.,1993,1316,3.0,2.2796352583586623
Aeugst a.A.,1994,1355,3.0,2.214022140221402
Aeugst a.A.,1995,1382,5.0,3.61794500723589
Aeugst a.A.,1996,1426,6.0,4.207573632538569
Aeugst a.A.,1997,1445,6.0,4.152249134948097
Aeugst a.A.,1998,1450,2.0,1.379310344827586
Aeugst a.A.,1999,1498,11.0,7.343124165554071
Aeugst a.A.,2000,1520,2.0,1.3157894736842104
Aeugst a.A.,2001,1502,0.0,0.0
Aeugst a.A.,2002,1490,5.0,3.3557046979865772
Aeugst a.A.,2003,1542,1.0,0.648508430609598
Aeugst a.A.,2004,1598,5.0,3.1289111389236544
Aeugst a.A.,2005,1606,9.0,5.603985056039851
Aeugst a.A.,2006,1644,3.0,1.8248175182481752
Aeugst a.A.,2007,1701,4.0,2.3515579071134627
Aeugst a.A.,2008,1700,8.0,4.705882352941176
Aeugst a.A.,2009,1737,3.0,1.7271157167530224
Aeugst a.A.,2010,1822,3.0,1.646542261251372
Aeugst a.A.,2011,1911,5.0,2.6164311878597593
Aeugst a.A.,2012,1959,1.0,0.5104645227156713
Aeugst a.A.,2013,1970,1.0,0.5076142131979696
Aeugst a.A.,2014,1952,3.0,1.5368852459016393
Aeugst a.A.,2015,1986,4.0,2.014098690835851
Aeugst a.A.,2016,1969,6.0,3.047232097511427
Aeugst a.A.,2017,1934,4.0,2.0682523267838677
Aeugst a.A.,2018,1979,4.0,2.02122283981809
Aeugst a.A.,2019,1981,4.0,2.0191822311963654
Aeugst a.A.,2020,2011,6.0,2.9835902536051715
Aeugst a.A.,2021,1986,6.0,3.0211480362537766
Affoltern a.A.,1990,9119,27.0,2.960850970501151
Affoltern a.A.,1991,9207,21.0,2.280873248615184
Affoltern a.A.,1992,9314,22.0,2.362035645265192
Affoltern a.A.,1993,9221,25.0,2.711202689513068
Affoltern a.A.,1994,9252,29.0,3.1344574146130566
Affoltern a.A.,1995,9343,28.0,2.9968960719255056
Affoltern a.A.,1996,9412,29.0,3.081172970675733
Affoltern a.A.,1997,9464,23.0,2.430262045646661
Affoltern a.A.,1998,9524,44.0,4.619907601847963
Affoltern a.A.,1999,9732,38.0,3.904644471845458
Affoltern a.A.,2000,9897,15.0,1.515610791148833
Affoltern a.A.,2001,10035,25.0,2.4912805181863478
Affoltern a.A.,2002,10126,31.0,3.06142603199684
Affoltern a.A.,2003,10258,12.0,1.1698186781048938
Affoltern a.A.,2004,10124,29.0,2.8644804425128405
Affoltern a.A.,2005,10133,34.0,3.3553735320240796
Affoltern a.A.,2006,10246,34.0,3.318368143665821
Affoltern a.A.,2007,10374,30.0,2.891844997108155
Affoltern a.A.,2008,10631,30.0,2.821935847991722
Affoltern a.A.,2009,10705,33.0,3.0826716487622603
Affoltern a.A.,2010,11063,25.0,2.2597848684805206
Affoltern a.A.,2011,11140,25.0,2.244165170556553
Affoltern a.A.,2012,11265,36.0,3.1957390146471374
Affoltern a.A.,2013,11342,28.0,2.4687004055722093
Affoltern a.A.,2014,11540,30.0,2.5996533795493937
Affoltern a.A.,2015,11695,24.0,2.05215904232578
Affoltern a.A.,2016,11868,17.0,1.4324233232221097
Affoltern a.A.,2017,12080,33.0,2.7317880794701987
Affoltern a.A.,2018,12201,26.0,2.1309728710761413
Affoltern a.A.,2019,12309,22.0,1.7873100983020553
Affoltern a.A.,2020,12246,20.0,1.6331863465621428
Affoltern a.A.,2021,12358,24.0,1.9420618223013433
Bonstetten,1990,2738,5.0,1.8261504747991235
Bonstetten,1991,2725,7.0,2.568807339449541
Bonstetten,1992,2815,5.0,1.7761989342806395
Bonstetten,1993,3028,8.0,2.642007926023778
Bonstetten,1994,3216,9.0,2.798507462686567
Bonstetten,1995,3420,2.0,0.5847953216374269
Bonstetten,1996,3570,7.0,1.9607843137254901
Bonstetten,1997,3611,11.0,3.0462475768485184
Bonstetten,1998,3718,16.0,4.303388918773534
Bonstetten,1999,3746,15.0,4.00427122263748
Bonstetten,2000,3850,3.0,0.7792207792207793
Bonstetten,2001,3970,10.0,2.5188916876574305
Bonstetten,2002,4087,9.0,2.202104232933692
Bonstetten,2003,4165,15.0,3.601440576230492
Bonstetten,2004,4328,12.0,2.7726432532347505
Bonstetten,2005,4468,11.0,2.4619516562220234
Bonstetten,2006,4599,7.0,1.5220700152207
Bonstetten,2007,4794,7.0,1.4601585314977055
Bonstetten,2008,5005,9.0,1.7982017982017982
Bonstetten,2009,5115,17.0,3.32355816226784
Bonstetten,2010,5164,13.0,2.517428350116189
Bonstetten,2011,5166,9.0,1.7421602787456445
Bonstetten,2012,5191,9.0,1.7337699865151224
Bonstetten,2013,5254,14.0,2.6646364674533687
Bonstetten,2014,5279,12.0,2.273157795036939
Bonstetten,2015,5322,10.0,1.8789928598271326
Bonstetten,2016,5422,10.0,1.8443378827001107
Bonstetten,2017,5491,7.0,1.2748133309051175
Bonstetten,2018,5539,7.0,1.2637660227477885
Bonstetten,2019,5576,10.0,1.793400286944046
Bonstetten,2020,5610,15.0,2.6737967914438503
Bonstetten,2021,5632,8.0,1.4204545454545454
Hausen a.A.,1990,2699,4.0,1.4820303816228233
Hausen a.A.,1991,2727,7.0,2.566923359002567
Hausen a.A.,1992,2786,8.0,2.871500358937545
Hausen a.A.,1993,2828,5.0,1.768033946251768
Hausen a.A.,1994,2922,8.0,2.737850787132101
Hausen a.A.,1995,2984,10.0,3.351206434316354
Hausen a.A.,1996,3033,6.0,1.9782393669634024
Hausen a.A.,1997,3023,11.0,3.6387694343367514
Hausen a.A.,1998,3040,12.0,3.947368421052632
Hausen a.A.,1999,3069,5.0,1.6291951775822744
Hausen a.A.,2000,3036,5.0,1.6469038208168643
Hausen a.A.,2001,3101,7.0,2.257336343115124
Hausen a.A.,2002,3110,6.0,1.9292604501607717
Hausen a.A.,2003,3095,4.0,1.2924071082390953
Hausen a.A.,2004,3138,7.0,2.2307202039515617
Hausen a.A.,2005,3203,11.0,3.4342803621604743
Hausen a.A.,2006,3252,11.0,3.3825338253382538
Hausen a.A.,2007,3235,10.0,3.0911901081916535
Hausen a.A.,2008,3252,8.0,2.4600246002460024
Hausen a.A.,2009,3306,4.0,1.209921355111918
Hausen a.A.,2010,3362,6.0,1.784651992861392
Hausen a.A.,2011,3362,7.0,2.082093991671624
Hausen a.A.,2012,3372,5.0,1.4827995255041517
Hausen a.A.,2013,3416,5.0,1.4637002341920375
Hausen a.A.,2014,3469,9.0,2.5944076102623232
Hausen a.A.,2015,3476,8.0,2.3014959723820483
Hausen a.A.,2016,3556,7.0,1.968503937007874
Hausen a.A.,2017,3646,5.0,1.3713658804168953
Hausen a.A.,2018,3693,8.0,2.166260492824262
Hausen a.A.,2019,3749,6.0,1.6004267804747934
Hausen a.A.,2020,3797,7.0,1.8435607058203844
Hausen a.A.,2021,3850,9.0,2.3376623376623376
Hedingen,1990,2187,5.0,2.286236854138089
Hedingen,1991,2225,2.0,0.8988764044943821
Hedingen,1992,2415,7.0,2.898550724637681
Hedingen,1993,2480,5.0,2.0161290322580645
Hedingen,1994,2653,7.0,2.638522427440633
Hedingen,1995,2706,7.0,2.5868440502586845
Hedingen,1996,2797,8.0,2.8602073650339648
Hedingen,1997,2817,7.0,2.4849130280440184
Hedingen,1998,2916,4.0,1.371742112482853
Hedingen,1999,2982,5.0,1.676727028839705
Hedingen,2000,2986,6.0,2.0093770931011385
Hedingen,2001,3070,3.0,0.9771986970684039
Hedingen,2002,3073,5.0,1.6270745200130166
Hedingen,2003,3059,7.0,2.288329519450801
Hedingen,2004,3107,6.0,1.9311232700354037
Hedingen,2005,3182,8.0,2.51414204902577
Hedingen,2006,3300,10.0,3.0303030303030303
Hedingen,2007,3318,11.0,3.315250150693189
Hedingen,2008,3399,5.0,1.4710208884966167
Hedingen,2009,3404,5.0,1.4688601645123385
Hedingen,2010,3408,6.0,1.7605633802816902
Hedingen,2011,3464,7.0,2.020785219399538
Hedingen,2012,3506,6.0,1.7113519680547633
Hedingen,2013,3585,5.0,1.3947001394700138
Hedingen,2014,3645,11.0,3.017832647462277
Hedingen,2015,3655,13.0,3.556771545827633
Hedingen,2016,3667,5.0,1.3635124079629124
Hedingen,2017,3678,7.0,1.9032082653616096
Hedingen,2018,3729,7.0,1.8771788683293107
Hedingen,2019,3775,8.0,2.119205298013245
Hedingen,2020,3793,7.0,1.8455048774057474
Hedingen,2021,3777,7.0,1.8533227429176595
Kappel a.A.,1990,729,0.0,0.0
Kappel a.A.,1991,771,0.0,0.0
Kappel a.A.,1992,772,2.0,2.5906735751295336
Kappel a.A.,1993,817,0.0,0.0
Kappel a.A.,1994,828,2.0,2.4154589371980677
Kappel a.A.,1995,844,1.0,1.1848341232227488
Kappel a.A.,1996,857,3.0,3.500583430571762
Kappel a.A.,1997,851,0.0,0.0
Kappel a.A.,1998,856,1.0,1.1682242990654206
Kappel a.A.,1999,870,3.0,3.4482758620689653
Kappel a.A.,2000,866,2.0,2.3094688221709005
Kappel a.A.,2001,878,0.0,0.0
Kappel a.A.,2002,875,1.0,1.142857142857143
Kappel a.A.,2003,891,1.0,1.122334455667789
Kappel a.A.,2004,862,1.0,1.160092807424594
Kappel a.A.,2005,846,1.0,1.1820330969267139
Kappel a.A.,2006,856,2.0,2.336448598130841
Kappel a.A.,2007,846,3.0,3.5460992907801416
Kappel a.A.,2008,862,3.0,3.480278422273782
Kappel a.A.,2009,882,1.0,1.1337868480725624
Kappel a.A.,2010,918,3.0,3.2679738562091503
Kappel a.A.,2011,952,0.0,0.0
Kappel a.A.,2012,922,2.0,2.1691973969631237
Kappel a.A.,2013,955,2.0,2.0942408376963355
Kappel a.A.,2014,1014,4.0,3.9447731755424065
Kappel a.A.,2015,1029,3.0,2.9154518950437316
Kappel a.A.,2016,1110,2.0,1.8018018018018018
Kappel a.A.,2017,1124,2.0,1.779359430604982
