GEBIET_NAME,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE
Aeugst a.A.,Scheidungen [Anz.],1990,4.0
Aeugst a.A.,Scheidungen [Anz.],1991,3.0
Aeugst a.A.,Scheidungen [Anz.],1992,2.0
Aeugst a.A.,Scheidungen [Anz.],1993,3.0
Aeugst a.A.,Scheidungen [Anz.],1994,3.0
Aeugst a.A.,Scheidungen [Anz.],1995,5.0
Aeugst a.A.,Scheidungen [Anz.],1996,6.0
Aeugst a.A.,Scheidungen [Anz.],1997,6.0
Aeugst a.A.,Scheidungen [Anz.],1998,2.0
Aeugst a.A.,Scheidungen [Anz.],1999,11.0
Aeugst a.A.,Scheidungen [Anz.],2000,2.0
Aeugst a.A.,Scheidungen [Anz.],2001,0.0
Aeugst a.A.,Scheidungen [Anz.],2002,5.0
Aeugst a.A.,Scheidungen [Anz.],2003,1.0
Aeugst a.A.,Scheidungen [Anz.],2004,5.0
Aeugst a.A.,Scheidungen [Anz.],2005,9.0
Aeugst a.A.,Scheidungen [Anz.],2006,3.0
Aeugst a.A.,Scheidungen [Anz.],2007,4.0
Aeugst a.A.,Scheidungen [Anz.],2008,8.0
Aeugst a.A.,Scheidungen [Anz.],2009,3.0
Aeugst a.A.,Scheidungen [Anz.],2010,3.0
Aeugst a.A.,Scheidungen [Anz.],2011,5.0
Aeugst a.A.,Scheidungen [Anz.],2012,1.0
Aeugst a.A.,Scheidungen [Anz.],2013,1.0
Aeugst a.A.,Scheidungen [Anz.],2014,3.0
Aeugst a.A.,Scheidungen [Anz.],2015,4.0
Aeugst a.A.,Scheidungen [Anz.],2016,6.0
Aeugst a.A.,Scheidungen [Anz.],2017,4.0
Aeugst a.A.,Scheidungen [Anz.],2018,4.0
Aeugst a.A.,Scheidungen [Anz.],2019,4.0
Aeugst a.A.,Scheidungen [Anz.],2020,6.0
Aeugst a.A.,Scheidungen [Anz.],2021,6.0
Affoltern a.A.,Scheidungen [Anz.],1990,27.0
Affoltern a.A.,Scheidungen [Anz.],1991,21.0
Affoltern a.A.,Scheidungen [Anz.],1992,22.0
Affoltern a.A.,Scheidungen [Anz.],1993,25.0
Affoltern a.A.,Scheidungen [Anz.],1994,29.0
Affoltern a.A.,Scheidungen [Anz.],1995,28.0
Affoltern a.A.,Scheidungen [Anz.],1996,29.0
Affoltern a.A.,Scheidungen [Anz.],1997,23.0
Affoltern a.A.,Scheidungen [Anz.],1998,44.0
Affoltern a.A.,Scheidungen [Anz.],1999,38.0
Affoltern a.A.,Scheidungen [Anz.],2000,15.0
Affoltern a.A.,Scheidungen [Anz.],2001,25.0
Affoltern a.A.,Scheidungen [Anz.],2002,31.0
Affoltern a.A.,Scheidungen [Anz.],2003,12.0
Affoltern a.A.,Scheidungen [Anz.],2004,29.0
Affoltern a.A.,Scheidungen [Anz.],2005,34.0
Affoltern a.A.,Scheidungen [Anz.],2006,34.0
Affoltern a.A.,Scheidungen [Anz.],2007,30.0
Affoltern a.A.,Scheidungen [Anz.],2008,30.0
Affoltern a.A.,Scheidungen [Anz.],2009,33.0
Affoltern a.A.,Scheidungen [Anz.],2010,25.0
Affoltern a.A.,Scheidungen [Anz.],2011,25.0
Affoltern a.A.,Scheidungen [Anz.],2012,36.0
Affoltern a.A.,Scheidungen [Anz.],2013,28.0
Affoltern a.A.,Scheidungen [Anz.],2014,30.0
Affoltern a.A.,Scheidungen [Anz.],2015,24.0
Affoltern a.A.,Scheidungen [Anz.],2016,17.0
Affoltern a.A.,Scheidungen [Anz.],2017,33.0
Affoltern a.A.,Scheidungen [Anz.],2018,26.0
Affoltern a.A.,Scheidungen [Anz.],2019,22.0
Affoltern a.A.,Scheidungen [Anz.],2020,20.0
Affoltern a.A.,Scheidungen [Anz.],2021,24.0
Bonstetten,Scheidungen [Anz.],1990,5.0
Bonstetten,Scheidungen [Anz.],1991,7.0
Bonstetten,Scheidungen [Anz.],1992,5.0
Bonstetten,Scheidungen [Anz.],1993,8.0
Bonstetten,Scheidungen [Anz.],1994,9.0
Bonstetten,Scheidungen [Anz.],1995,2.0
Bonstetten,Scheidungen [Anz.],1996,7.0
Bonstetten,Scheidungen [Anz.],1997,11.0
Bonstetten,Scheidungen [Anz.],1998,16.0
Bonstetten,Scheidungen [Anz.],1999,15.0
Bonstetten,Scheidungen [Anz.],2000,3.0
Bonstetten,Scheidungen [Anz.],2001,10.0
Bonstetten,Scheidungen [Anz.],2002,9.0
Bonstetten,Scheidungen [Anz.],2003,15.0
Bonstetten,Scheidungen [Anz.],2004,12.0
Bonstetten,Scheidungen [Anz.],2005,11.0
Bonstetten,Scheidungen [Anz.],2006,7.0
Bonstetten,Scheidungen [Anz.],2007,7.0
Bonstetten,Scheidungen [Anz.],2008,9.0
Bonstetten,Scheidungen [Anz.],2009,17.0
