,Place,Year,Population,Divorces,Divorces p1k,Ø Taxable assets of natural persons [CHF 1k],Unemployed persons,Unemployed persons p1k,% SVP voters,Number of cattle,Number of cattle p1k,Bezügerquote,Birthrate,Church tax (millions),Church tax (millions) p1k,Number of kindergardeners p1k,Number of primary schoolers,Number of primary schoolers p1k,Number of secondary educationers,Number of secondary educationers p1k
0,Aeugst a.A.,1962,710,,,,,,,,,,,,,,,,,
1,Aeugst a.A.,1963,720,,,,,,,,,,,,,,,,,
2,Aeugst a.A.,1964,705,,,,,,,,,,,,,,,,,
3,Aeugst a.A.,1965,695,,,,,,,,,,,,,,,,,
4,Aeugst a.A.,1966,745,,,,,,,,,,,,,,,,,
5,Aeugst a.A.,1967,704,,,,,,,,,,,,,,,,,
6,Aeugst a.A.,1968,678,,,,,,,,,,,,,,,,,
7,Aeugst a.A.,1969,726,,,,,,,,,,,,,,,,,
8,Aeugst a.A.,1970,700,,,,,,,,,,,,,,,,,
9,Aeugst a.A.,1971,729,,,,,,,,,,,,,,,,,
10,Aeugst a.A.,1972,723,,,,,,,,,,,,,,,,,
11,Aeugst a.A.,1973,713,,,,,,,,,,,,,,,,,
12,Aeugst a.A.,1974,735,,,,,,,,,,,,,,,,,
13,Aeugst a.A.,1975,726,,,,,,,,,,,,,,,,,
14,Aeugst a.A.,1976,732,,,,,,,,,,,,,,,,,
15,Aeugst a.A.,1977,789,,,,,,,,,,,,,,,,,
16,Aeugst a.A.,1978,827,,,,,,,,,,,,,,,,,
17,Aeugst a.A.,1979,853,,,,,,,,,,,,,,,,,
18,Aeugst a.A.,1980,889,,,,,,,,,,,,,,,,,
19,Aeugst a.A.,1981,921,,,,,,,,,,,,,,,,,
20,Aeugst a.A.,1982,961,,,,,,,,,,,,,,,,,
21,Aeugst a.A.,1983,976,,,,,,,,,,,,,,,,,
22,Aeugst a.A.,1984,988,,,,,,,,,,,,,,,,,
23,Aeugst a.A.,1985,1034,,,,,,,952.0,1340.8450704225352,,,,,,,,,
24,Aeugst a.A.,1986,1022,,,,,,,,,,,,,,,,,
25,Aeugst a.A.,1987,1054,,,,,,,,,,,,,,,,,
26,Aeugst a.A.,1988,1126,,,,,,,,,,,,,,,,,
27,Aeugst a.A.,1989,1158,,,,,,,,,,,,,,,,,
28,Aeugst a.A.,1990,1200,4.0,3.3333333333333335,434.0,,,,902.0,1252.7777777777778,,15.5,0.4,0.5633802816901409,25.9,112.0,0.15774647887323945,,
29,Aeugst a.A.,1991,1237,3.0,2.425222312045271,453.0,1.8,0.21126760563380279,27.8,,,,13.3,0.4,0.5555555555555556,23.3,108.0,0.15,,
30,Aeugst a.A.,1992,1292,2.0,1.5479876160990713,453.0,3.4,0.39351851851851855,,,,,12.1,0.4,0.5673758865248227,29.1,104.0,0.1475177304964539,,
31,Aeugst a.A.,1993,1316,3.0,2.2796352583586623,600.0,11.3,1.3356973995271868,,,,,10.6,0.4,0.5755395683453237,31.7,105.0,0.1510791366906475,,
32,Aeugst a.A.,1994,1355,3.0,2.214022140221402,665.0,11.1,1.330935251798561,,,,,10.6,0.4,0.5369127516778525,25.8,114.0,0.15302013422818792,,
33,Aeugst a.A.,1995,1382,5.0,3.61794500723589,667.0,14.3,1.5995525727069353,28.3,,,,11.1,0.5,0.7102272727272727,28.0,108.0,0.1534090909090909,,
34,Aeugst a.A.,1996,1426,6.0,4.207573632538569,645.0,16.7,1.9767992424242422,,707.0,1002.8368794326241,,10.1,0.5,0.7374631268436578,25.3,115.0,0.1696165191740413,,
35,Aeugst a.A.,1997,1445,6.0,4.152249134948097,696.0,19.0,2.335299901671583,,,,,11.2,0.5,0.6887052341597797,28.8,116.0,0.15977961432506887,,
